Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2012-12-13,2012,12,13,Thursday,50,2012-50,831.53,833.47,829.06,831.14,0,831.14,0.0,831.14,831.14
2012-12-14,2012,12,14,Friday,50,2012-50,827.19,832.24,827.19,829.71,0,829.71,-0.0017205195882502577,830.425,830.425
2012-12-21,2012,12,21,Friday,51,2012-51,857.23,859.61,844.17,845.61,0,845.61,0.01916327747988822,835.4866666666667,835.4866666666667
2012-12-28,2012,12,28,Friday,52,2012-52,869.84,871.85,866.48,870.07,0,870.07,0.028925890654527997,844.1325,844.1325
2013-01-04,2013,1,4,Friday,00,2013-00,886.11,894.03,886.04,893.17,0,893.17,0.02654955968081052,853.9399999999999,853.9399999999999
2013-01-11,2013,1,11,Friday,01,2013-01,903.66,905.01,899.61,903.77,0,903.77,0.011867882736672719,862.245,862.245
2013-01-18,2013,1,18,Friday,02,2013-02,911.75,917.73,911.54,917.73,0,917.73,0.015446364269463775,870.1714285714286,870.1714285714286
2013-01-25,2013,1,25,Friday,03,2013-03,917.95,925.37,917.95,925.37,0,925.37,0.008324904722558202,877.07125,877.07125
2013-02-01,2013,2,1,Friday,04,2013-04,947.18,949.0,942.75,944.64,0,944.64,0.020824124007618794,884.5788888888889,884.5788888888889
2013-02-08,2013,2,8,Friday,05,2013-05,955.03,958.62,948.34,949.96,0,949.96,0.005631782733868995,891.117,891.117
2013-02-15,2013,2,15,Friday,06,2013-06,950.08,952.18,938.92,947.24,0,947.24,-0.00286331179772481,896.2190909090909,896.2190909090909
2013-02-22,2013,2,22,Friday,07,2013-07,960.07,969.3,955.48,968.94,0,968.94,0.02290867407494268,902.2791666666667,902.2791666666667
2013-02-28,2013,2,28,Thursday,08,2013-08,981.25,981.25,981.25,981.25,0,981.25,0.012704602480624771,908.3538461538462,908.3538461538462
2013-03-01,2013,3,1,Friday,08,2013-08,977.26,991.43,976.77,989.39,0,989.39,0.00829555632961787,914.1421428571429,914.1421428571429
2013-03-06,2013,3,6,Wednesday,09,2013-09,1003.76,1011.7,1003.32,1011.7,0,1011.7,0.02254924471470554,927.0392857142858,920.6460000000001
2013-03-07,2013,3,7,Thursday,09,2013-09,1017.89,1021.91,1012.83,1014.54,0,1014.54,0.0028071224533416927,940.2414285714285,926.514375
2013-03-08,2013,3,8,Friday,09,2013-09,1020.08,1032.98,1020.08,1032.54,0,1032.54,0.01774209141581129,953.5935714285715,932.7511764705882
2013-03-11,2013,3,11,Monday,10,2013-10,1040.51,1044.36,1036.99,1041.42,0,1041.42,0.008600155487311856,965.8328571428572,938.7883333333333
2013-03-14,2013,3,14,Thursday,10,2013-10,1035.48,1041.29,1031.01,1040.36,0,1040.36,-0.0010178972451251322,976.3464285714284,944.1342105263158
2013-03-15,2013,3,15,Friday,10,2013-10,1047.45,1058.79,1047.45,1057.46,0,1057.46,0.01643659485822968,987.3242857142858,949.8004999999999
2013-03-18,2013,3,18,Monday,11,2013-11,1045.31,1047.11,1036.87,1036.87,0,1036.87,-0.01947115406814859,995.8342857142856,953.9466666666667
2013-03-19,2013,3,19,Tuesday,11,2013-11,1049.17,1058.41,1049.17,1056.52,0,1056.52,0.018951290428499412,1005.2021428571428,958.6090909090909
2013-03-21,2013,3,21,Thursday,11,2013-11,1066.1,1072.0,1065.41,1070.11,0,1070.11,0.012862951547611967,1014.1642857142857,963.456956521739
2013-03-22,2013,3,22,Friday,11,2013-11,1064.37,1064.95,1049.44,1049.44,0,1049.44,-0.019315812606422678,1021.2699999999999,967.0395833333333
2013-03-26,2013,3,26,Tuesday,12,2013-12,1056.23,1064.39,1056.23,1062.23,0,1062.23,0.012187490258243283,1029.4835714285714,970.8472
2013-03-27,2013,3,27,Wednesday,12,2013-12,1061.1,1066.46,1060.4,1066.1,0,1066.1,0.003643274232835836,1036.4235714285714,974.5107692307691
2013-04-01,2013,4,1,Monday,13,2013-13,1061.28,1061.28,1029.94,1029.94,0,1029.94,-0.03391805178479035,1039.9014285714286,976.5637037037037
2013-04-02,2013,4,2,Tuesday,13,2013-13,1022.32,1026.38,1003.12,1020.93,0,1020.93,-0.008748033131103616,1042.1542857142856,978.1482142857143
2013-04-03,2013,4,3,Wednesday,13,2013-13,1026.27,1045.78,1025.68,1045.78,0,1045.78,0.024340588286532405,1044.5885714285714,980.4803448275862
2013-04-04,2013,4,4,Thursday,13,2013-13,1033.27,1071.32,1025.19,1071.32,0,1071.32,0.024421882496034275,1048.6442857142858,983.5083333333333
2013-04-05,2013,4,5,Friday,13,2013-13,1090.38,1115.18,1088.69,1096.68,0,1096.68,0.023671833526221375,1053.2257142857143,987.1590322580645
2013-04-08,2013,4,8,Monday,14,2013-14,1116.74,1130.18,1113.24,1128.24,0,1128.24,0.02877770632979537,1059.4271428571428,991.5678125
2013-04-09,2013,4,9,Tuesday,14,2013-14,1134.76,1137.35,1123.78,1130.37,0,1130.37,0.0018879005364540458,1065.8564285714285,995.7739393939394
2013-04-10,2013,4,10,Wednesday,14,2013-14,1130.07,1140.77,1130.07,1140.32,0,1140.32,0.008802384365168336,1071.7749999999999,1000.025294117647
