Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,1524.34,1524.34,1507.33,1510.41,0,1510.41,0.0,1510.41,1510.41
2017-01-06,2017,1,6,Friday,01,2017-01,1505.89,1517.83,1503.64,1516.44,0,1516.44,0.003992231970199711,1513.4250000000002,1513.4250000000002
2017-01-10,2017,1,10,Tuesday,02,2017-02,1509.6,1520.75,1501.91,1506.84,0,1506.84,-0.0063306005887942,1511.2300000000002,1511.2300000000002
2017-01-11,2017,1,11,Wednesday,02,2017-02,1512.03,1519.62,1510.3,1515.12,0,1515.12,0.005494962626882094,1512.2024999999999,1512.2024999999999
2017-01-12,2017,1,12,Thursday,02,2017-02,1514.5,1514.5,1498.56,1507.84,0,1507.84,-0.0048049192937433816,1511.33,1511.33
2017-01-13,2017,1,13,Friday,02,2017-02,1507.0,1515.99,1505.83,1515.55,0,1515.55,0.005113329784714793,1512.0333333333335,1512.0333333333335
2017-01-16,2017,1,16,Monday,03,2017-03,1509.22,1517.72,1501.35,1507.25,0,1507.25,-0.005476591706451983,1511.3500000000001,1511.3500000000001
2017-01-17,2017,1,17,Tuesday,03,2017-03,1505.38,1505.38,1486.03,1486.29,0,1486.29,-0.013906094501575761,1508.2175,1508.2175
2017-01-18,2017,1,18,Wednesday,03,2017-03,1485.22,1494.65,1469.36,1492.2,0,1492.2,0.00397628454342791,1506.437777777778,1506.437777777778
2017-01-19,2017,1,19,Thursday,03,2017-03,1510.55,1513.03,1501.13,1508.11,0,1508.11,0.010662132891233966,1506.605,1506.605
2017-01-20,2017,1,20,Friday,03,2017-03,1505.35,1517.95,1505.35,1513.1,0,1513.1,0.0033087707679435585,1507.1954545454546,1507.1954545454546
2017-01-23,2017,1,23,Monday,04,2017-04,1502.58,1514.7,1495.91,1503.5,0,1503.5,-0.006344574542881731,1506.8875,1506.8875
2017-01-24,2017,1,24,Tuesday,04,2017-04,1504.57,1513.24,1502.22,1506.8,0,1506.8,0.002194911092866736,1506.8807692307694,1506.8807692307694
2017-01-25,2017,1,25,Wednesday,04,2017-04,1532.25,1535.66,1526.28,1533.25,0,1533.25,0.017553723330740345,1508.7642857142857,1508.7642857142857
2017-01-26,2017,1,26,Thursday,04,2017-04,1548.73,1569.26,1547.79,1569.26,0,1569.26,0.02348606539417908,1512.9678571428572,1512.7973333333332
2017-01-27,2017,1,27,Friday,04,2017-04,1566.42,1569.78,1559.97,1562.92,0,1562.92,-0.004040099015369281,1516.2878571428573,1515.93
2017-01-30,2017,1,30,Monday,05,2017-05,1553.05,1555.33,1546.8,1555.0,0,1555.0,-0.005067465847657715,1519.7278571428574,1518.2282352941177
