Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,4084.16,4128.59,4076.06,4114.43,0,4114.43,0.0,4114.43,4114.43
2017-01-06,2017,1,6,Friday,01,2017-01,4084.52,4173.96,4084.52,4169.26,0,4169.26,0.013326168509674385,4141.845,4141.845
2017-01-10,2017,1,10,Tuesday,02,2017-02,4200.49,4218.05,4168.45,4184.68,0,4184.68,0.003698596638997964,4156.123333333334,4156.123333333334
2017-01-11,2017,1,11,Wednesday,02,2017-02,4185.6,4205.11,4168.43,4193.97,0,4193.97,0.0022200117266466535,4165.585,4165.585
2017-01-12,2017,1,12,Thursday,02,2017-02,4185.07,4185.07,4130.02,4152.56,0,4152.56,-0.009873736371192265,4162.9800000000005,4162.9800000000005
2017-01-13,2017,1,13,Friday,02,2017-02,4152.93,4197.41,4151.79,4196.83,0,4196.83,0.010660898074100755,4168.621666666667,4168.621666666667
2017-01-16,2017,1,16,Monday,03,2017-03,4183.51,4193.8,4146.64,4150.97,0,4150.97,-0.010927262345045596,4166.1,4166.1
2017-01-17,2017,1,17,Tuesday,03,2017-03,4132.23,4132.23,4080.41,4084.48,0,4084.48,-0.01601799842774898,4155.8975,4155.8975
2017-01-18,2017,1,18,Wednesday,03,2017-03,4067.62,4107.63,4037.29,4094.96,0,4094.96,0.0025658053213293286,4149.126666666667,4149.126666666667
2017-01-19,2017,1,19,Thursday,03,2017-03,4140.74,4150.34,4105.1,4124.03,0,4124.03,0.007098927583188086,4146.617,4146.617
2017-01-20,2017,1,20,Friday,03,2017-03,4131.97,4168.62,4119.21,4154.11,0,4154.11,0.007293855692620976,4147.298181818182,4147.298181818182
2017-01-23,2017,1,23,Monday,04,2017-04,4115.8,4119.99,4093.4,4093.64,0,4093.64,-0.014556661401189053,4142.826666666667,4142.826666666667
2017-01-24,2017,1,24,Tuesday,04,2017-04,4084.89,4129.92,4082.67,4103.38,0,4103.38,0.0023792982504480253,4139.792307692308,4139.792307692308
2017-01-25,2017,1,25,Wednesday,04,2017-04,4160.26,4170.02,4141.08,4152.87,0,4152.87,0.012060846372595302,4140.726428571428,4140.726428571428
2017-01-26,2017,1,26,Thursday,04,2017-04,4171.98,4212.98,4167.18,4211.58,0,4211.58,0.014137201328429994,4147.665714285714,4145.45
