Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,1299.78,1299.78,1287.97,1293.23,0,1293.23,0.0,1293.23,1293.23
2017-01-06,2017,1,6,Friday,01,2017-01,1290.33,1303.85,1290.16,1303.32,0,1303.32,0.007802143449114229,1298.275,1298.275
2017-01-10,2017,1,10,Tuesday,02,2017-02,1292.77,1295.27,1277.99,1286.71,0,1286.71,-0.012744365187424611,1294.42,1294.42
2017-01-11,2017,1,11,Wednesday,02,2017-02,1284.75,1287.56,1280.01,1282.99,0,1282.99,-0.0028910716603255393,1291.5625,1291.5625
2017-01-12,2017,1,12,Thursday,02,2017-02,1270.7,1270.86,1251.15,1258.95,0,1258.95,-0.018737511005918583,1285.04,1285.04
2017-01-13,2017,1,13,Friday,02,2017-02,1242.99,1255.86,1242.26,1255.01,0,1255.01,-0.003129545700035652,1280.035,1280.035
2017-01-16,2017,1,16,Monday,03,2017-03,1255.74,1257.4,1244.33,1248.64,0,1248.64,-0.005075652837523648,1275.55,1275.55
2017-01-17,2017,1,17,Tuesday,03,2017-03,1244.08,1244.08,1226.27,1226.27,0,1226.27,-0.01791548793467579,1269.39,1269.39
2017-01-18,2017,1,18,Wednesday,03,2017-03,1227.27,1231.55,1217.59,1225.91,0,1225.91,-0.0002935612433060397,1264.558888888889,1264.558888888889
2017-01-19,2017,1,19,Thursday,03,2017-03,1234.25,1238.95,1228.72,1234.05,0,1234.05,0.006639977177349987,1261.508,1261.508
2017-01-20,2017,1,20,Friday,03,2017-03,1226.81,1234.99,1224.66,1233.08,0,1233.08,-0.0007861048863931908,1258.9236363636364,1258.9236363636364
2017-01-23,2017,1,23,Monday,04,2017-04,1222.41,1227.28,1216.93,1220.97,0,1220.97,-0.009820924662751862,1255.7608333333335,1255.7608333333335
2017-01-24,2017,1,24,Tuesday,04,2017-04,1218.48,1220.81,1213.52,1215.19,0,1215.19,-0.004733965155217068,1252.6399999999999,1252.6399999999999
2017-01-25,2017,1,25,Wednesday,04,2017-04,1225.79,1225.79,1198.26,1203.83,0,1203.83,-0.009348320755861783,1249.1535714285715,1249.1535714285715
2017-01-26,2017,1,26,Thursday,04,2017-04,1211.54,1212.82,1208.18,1210.64,0,1210.64,0.0056569937967556605,1243.2542857142857,1246.586
2017-01-27,2017,1,27,Friday,04,2017-04,1223.21,1226.86,1212.01,1220.43,0,1220.43,0.008086664032282975,1237.3335714285715,1244.95125
2017-01-30,2017,1,30,Monday,05,2017-05,1200.86,1208.34,1198.26,1206.14,0,1206.14,-0.01170901930761914,1231.5785714285714,1242.6682352941177
2017-01-31,2017,1,31,Tuesday,05,2017-05,1197.93,1202.22,1191.77,1192.63,0,1192.63,-0.0112010294008551,1225.1242857142859,1239.8883333333333
2017-02-01,2017,2,1,Wednesday,05,2017-05,1190.68,1200.11,1188.3,1199.84,0,1199.84,0.006045429771162292,1220.902142857143,1237.7805263157895
2017-02-02,2017,2,2,Thursday,05,2017-05,1195.95,1196.73,1176.69,1178.54,0,1178.54,-0.017752306444676624,1215.44,1234.8184999999999
2017-02-03,2017,2,3,Friday,05,2017-05,1180.56,1182.48,1173.99,1177.57,0,1177.57,-0.000823130942762984,1210.3635714285715,1232.0923809523808
2017-02-06,2017,2,6,Monday,06,2017-06,1181.35,1181.44,1171.85,1175.77,0,1175.77,-0.0015285094218688844,1206.7564285714286,1229.5322727272726
2017-02-07,2017,2,7,Tuesday,06,2017-06,1168.11,1177.15,1165.36,1175.91,0,1175.91,0.00011908336333776859,1203.185,1227.2008695652173
2017-02-08,2017,2,8,Wednesday,06,2017-06,1173.15,1174.71,1163.29,1168.69,0,1168.69,-0.0061400043911303825,1198.5164285714286,1224.7629166666668
2017-02-09,2017,2,9,Thursday,06,2017-06,1173.41,1178.75,1169.13,1175.78,0,1175.78,0.006066697110521657,1194.4235714285714,1222.8036
2017-02-10,2017,2,10,Friday,06,2017-06,1190.97,1195.21,1188.88,1193.22,0,1193.22,0.014832656595366034,1192.4414285714286,1221.6657692307692
2017-02-13,2017,2,13,Monday,07,2017-07,1198.87,1206.69,1195.78,1204.93,0,1204.93,0.009813851004280671,1191.7085714285715,1221.0459259259258
2017-02-14,2017,2,14,Tuesday,07,2017-07,1208.17,1209.57,1193.83,1194.13,0,1194.13,-0.00896321640817499,1191.0157142857145,1220.0846428571429
2017-02-15,2017,2,15,Wednesday,07,2017-07,1201.27,1203.99,1199.53,1201.5,0,1201.5,0.0061718532212167165,1190.362857142857,1219.4437931034483
2017-02-16,2017,2,16,Thursday,07,2017-07,1201.64,1202.33,1194.82,1198.27,0,1198.27,-0.0026882900280899014,1188.78,1218.738
2017-02-17,2017,2,17,Friday,07,2017-07,1196.41,1196.88,1189.61,1192.5,0,1192.5,-0.0048152915763570725,1187.8057142857142,1217.8916129032257
2017-02-20,2017,2,20,Monday,08,2017-08,1190.38,1193.72,1183.61,1193.04,0,1193.04,0.000452862945492738,1187.8350000000003,1217.115
2017-02-21,2017,2,21,Tuesday,08,2017-08,1194.68,1198.87,1193.11,1197.31,0,1197.31,0.0035791083211300645,1187.6542857142856,1216.5148484848485
2017-02-22,2017,2,22,Wednesday,08,2017-08,1199.98,1199.98,1184.17,1192.26,0,1192.26,-0.004217828783678934,1188.6342857142859,1215.8014705882354
2017-02-23,2017,2,23,Thursday,08,2017-08,1193.27,1194.67,1186.79,1194.59,0,1194.59,0.001954234844415703,1189.8500000000001,1215.1954285714287
2017-02-24,2017,2,24,Friday,08,2017-08,1191.2,1197.04,1188.84,1191.5,0,1191.5,-0.0025866329943519117,1190.9735714285714,1214.5372222222222
2017-02-27,2017,2,27,Monday,09,2017-09,1186.2,1191.83,1180.71,1187.99,0,1187.99,-0.0029458747508392946,1191.8364285714285,1213.8197297297297
2017-02-28,2017,2,28,Tuesday,09,2017-09,1191.5,1196.58,1185.9,1186.25,0,1186.25,-0.0014646505851717562,1193.0907142857143,1213.094210526316
2017-03-01,2017,3,1,Wednesday,09,2017-09,1187.13,1193.5,1185.26,1191.36,0,1191.36,0.004307679959167476,1194.2035714285714,1212.5369230769231
2017-03-02,2017,3,2,Thursday,09,2017-09,1204.01,1209.56,1203.08,1208.22,0,1208.22,0.014151881512612041,1195.2749999999999,1212.429
2017-03-03,2017,3,3,Friday,09,2017-09,1198.34,1198.57,1177.83,1182.4,0,1182.4,-0.02137023631055901,1193.6657142857143,1211.6965853658537
2017-03-06,2017,3,6,Monday,10,2017-10,1180.31,1188.01,1178.77,1186.63,0,1186.63,0.0035774529612735417,1193.1299999999999,1211.0997619047619
2017-03-07,2017,3,7,Tuesday,10,2017-10,1185.2,1195.38,1183.01,1195.38,0,1195.38,0.007373823318131967,1192.6928571428573,1210.7341860465117
