Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,5050.84,5068.92,5035.15,5060.01,0,5060.01,0.0,5060.01,5060.01
2017-01-06,2017,1,6,Friday,01,2017-01,5026.17,5060.11,5024.35,5051.29,0,5051.29,-0.0017232627932335376,5055.65,5055.65
2017-01-10,2017,1,10,Tuesday,02,2017-02,5051.36,5074.5,5013.43,5025.74,0,5025.74,-0.0050580751629620835,5045.68,5045.68
2017-01-11,2017,1,11,Wednesday,02,2017-02,5044.07,5063.92,5039.63,5059.91,0,5059.91,0.0067989828923678,5049.2375,5049.2375
2017-01-12,2017,1,12,Thursday,02,2017-02,5048.23,5055.13,5005.2,5033.66,0,5033.66,-0.0051878391491944065,5046.122,5046.122
2017-01-13,2017,1,13,Friday,02,2017-02,5026.36,5062.23,5024.08,5062.23,0,5062.23,0.005675755480488043,5048.806666666666,5048.806666666666
2017-01-16,2017,1,16,Monday,03,2017-03,5064.41,5079.32,5033.7,5048.67,0,5048.67,-0.002678672965485185,5048.787142857143,5048.787142857143
2017-01-17,2017,1,17,Tuesday,03,2017-03,5047.89,5047.89,4980.87,4981.05,0,4981.05,-0.013393649859047785,5040.32,5040.32
2017-01-18,2017,1,18,Wednesday,03,2017-03,4962.98,4995.94,4924.34,4982.01,0,4982.01,0.00019272261373437516,5033.841111111111,5033.841111111111
2017-01-19,2017,1,19,Thursday,03,2017-03,5044.56,5055.61,5016.45,5047.16,0,5047.16,0.013077130252639568,5035.173,5035.173
2017-01-20,2017,1,20,Friday,03,2017-03,5049.94,5072.18,5037.58,5057.42,0,5057.42,0.002032779881631974,5037.195454545455,5037.195454545455
2017-01-23,2017,1,23,Monday,04,2017-04,5033.28,5072.63,5016.9,5040.29,0,5040.29,-0.003387079395643533,5037.453333333334,5037.453333333334
2017-01-24,2017,1,24,Tuesday,04,2017-04,5047.18,5104.6,5041.9,5069.21,0,5069.21,0.005737749544345583,5039.8961538461535,5039.8961538461535
2017-01-25,2017,1,25,Wednesday,04,2017-04,5126.55,5147.16,5109.05,5143.75,0,5143.75,0.014704468672020576,5047.314285714286,5047.314285714286
2017-01-26,2017,1,26,Thursday,04,2017-04,5185.17,5204.47,5176.14,5191.2,0,5191.2,0.009224825334143372,5056.685,5056.906666666667
2017-01-27,2017,1,27,Friday,04,2017-04,5209.95,5224.83,5187.56,5198.89,0,5198.89,0.0014813417161592124,5067.227857142857,5065.780625
2017-01-30,2017,1,30,Monday,05,2017-05,5187.24,5203.42,5178.88,5197.83,0,5197.83,-0.00020390094152267224,5079.5199999999995,5073.548235294118
2017-01-31,2017,1,31,Tuesday,05,2017-05,5152.1,5194.92,5145.96,5146.54,0,5146.54,-0.00986758672207344,5085.707857142857,5077.6033333333335
2017-02-01,2017,2,1,Wednesday,05,2017-05,5117.11,5159.83,5115.98,5156.75,0,5156.75,0.0019838495105461984,5094.5,5081.768947368421
2017-02-02,2017,2,2,Thursday,05,2017-05,5176.16,5190.06,5076.93,5086.66,0,5086.66,-0.013591863819266026,5096.245000000001,5082.0135
2017-02-03,2017,2,3,Friday,05,2017-05,5120.89,5152.81,5091.87,5117.92,0,5117.92,0.006145440164031957,5101.191428571429,5083.723333333333
2017-02-06,2017,2,6,Monday,06,2017-06,5150.65,5150.65,5050.82,5082.23,0,5082.23,-0.006973524781758389,5108.418571428571,5083.655454545455
2017-02-07,2017,2,7,Tuesday,06,2017-06,5039.86,5080.95,5030.08,5060.66,0,5060.66,-0.004244165317516924,5114.0364285714295,5082.655652173913
2017-02-08,2017,2,8,Wednesday,06,2017-06,5066.34,5120.61,5066.34,5120.61,0,5120.61,0.011846222662711625,5119.282857142857,5084.237083333333
2017-02-09,2017,2,9,Thursday,06,2017-06,5102.88,5107.47,5075.97,5082.09,0,5082.09,-0.00752254527482521,5121.045,5084.1512
2017-02-10,2017,2,10,Friday,06,2017-06,5155.74,5196.63,5147.26,5195.49,0,5195.49,0.022313731970807327,5132.130714285714,5088.433461538461
2017-02-13,2017,2,13,Monday,07,2017-07,5237.46,5246.31,5219.93,5238.8,0,5238.8,0.008335993016780341,5144.244285714286,5094.002592592593
2017-02-14,2017,2,14,Tuesday,07,2017-07,5231.97,5246.34,5182.67,5183.6,0,5183.6,-0.01053670861441569,5147.090714285715,5097.2025
2017-02-15,2017,2,15,Wednesday,07,2017-07,5240.7,5264.33,5231.09,5254.74,0,5254.74,0.013724078898546876,5151.629285714285,5102.634827586207
2017-02-16,2017,2,16,Thursday,07,2017-07,5245.97,5250.4,5209.59,5239.95,0,5239.95,-0.00281460898214303,5154.562142857142,5107.2119999999995
2017-02-17,2017,2,17,Friday,07,2017-07,5209.45,5234.75,5200.0,5217.89,0,5217.89,-0.00420997486073138,5155.995000000001,5110.782258064516
2017-02-20,2017,2,20,Monday,08,2017-08,5198.05,5220.1,5185.17,5215.27,0,5215.27,-0.0005021411181239666,5160.904285714286,5114.0475
2017-02-21,2017,2,21,Tuesday,08,2017-08,5207.99,5239.41,5195.3,5236.7,0,5236.7,0.004109121042821018,5166.615,5117.764242424242
2017-02-22,2017,2,22,Wednesday,08,2017-08,5233.49,5233.49,5204.86,5217.51,0,5217.51,-0.0036646034662587423,5175.961428571428,5120.6979411764705
2017-02-23,2017,2,23,Thursday,08,2017-08,5187.66,5201.69,5174.08,5200.29,0,5200.29,-0.0033003726559268642,5181.845,5122.972
2017-02-24,2017,2,24,Friday,08,2017-08,5182.51,5238.95,5182.51,5207.1,0,5207.1,0.0013095536100093952,5190.7642857142855,5125.308888888889
