Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,233.74,233.78,231.66,233.08,0,233.08,0.0,233.08,233.08
2017-01-06,2017,1,6,Friday,01,2017-01,232.35,235.17,232.35,234.63,0,234.63,0.006650090267638298,233.85500000000002,233.85500000000002
2017-01-10,2017,1,10,Tuesday,02,2017-02,233.7,234.47,231.04,231.89,0,231.89,-0.011677984214050419,233.20000000000002,233.20000000000002
2017-01-11,2017,1,11,Wednesday,02,2017-02,232.62,233.66,229.84,229.96,0,229.96,-0.008322880162409452,232.39,232.39
2017-01-12,2017,1,12,Thursday,02,2017-02,229.92,229.92,226.49,228.07,0,228.07,-0.008218817770344389,231.526,231.526
2017-01-13,2017,1,13,Friday,02,2017-02,226.02,228.69,225.91,227.84,0,227.84,-0.0010085104526749156,230.91166666666666,230.91166666666666
2017-01-16,2017,1,16,Monday,03,2017-03,227.26,227.64,223.9,224.6,0,224.6,-0.014220462984778304,230.01,230.01
2017-01-17,2017,1,17,Tuesday,03,2017-03,223.79,223.9,220.74,220.74,0,220.74,-0.017186110888049222,228.85125,228.85125
2017-01-18,2017,1,18,Wednesday,03,2017-03,222.28,223.71,221.2,223.02,0,223.02,0.010328887934033748,228.20333333333332,228.20333333333332
2017-01-19,2017,1,19,Thursday,03,2017-03,224.91,228.15,224.91,227.95,0,227.95,0.02210560748514001,228.17800000000003,228.17800000000003
2017-01-20,2017,1,20,Friday,03,2017-03,225.45,225.87,224.29,225.06,0,225.06,-0.012678216399821363,227.89454545454547,227.89454545454547
2017-01-23,2017,1,23,Monday,04,2017-04,224.25,224.25,220.82,220.85,0,220.85,-0.01870608504730864,227.3075,227.3075
2017-01-24,2017,1,24,Tuesday,04,2017-04,220.78,222.17,220.12,220.97,0,220.97,0.000543333094277898,226.82,226.82
2017-01-25,2017,1,25,Wednesday,04,2017-04,224.06,224.06,221.39,222.24,0,222.24,0.005747405826334262,226.49285714285716,226.49285714285716
