Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,1438.86,1443.93,1432.86,1440.48,0,1440.48,0.0,1440.48,1440.48
2017-01-06,2017,1,6,Friday,01,2017-01,1440.3,1455.54,1438.58,1453.92,0,1453.92,0.009330267451678864,1447.2,1447.2
2017-01-10,2017,1,10,Tuesday,02,2017-02,1446.57,1451.78,1426.38,1432.11,0,1432.11,-0.015000865202027813,1442.17,1442.17
2017-01-11,2017,1,11,Wednesday,02,2017-02,1425.76,1428.03,1417.49,1419.52,0,1419.52,-0.008791200361068507,1436.5075,1436.5075
2017-01-12,2017,1,12,Thursday,02,2017-02,1419.19,1419.19,1400.76,1405.13,0,1405.13,-0.010137239665833908,1430.232,1430.232
2017-01-13,2017,1,13,Friday,02,2017-02,1403.85,1418.41,1403.37,1415.25,0,1415.25,0.007202177081138794,1427.735,1427.735
2017-01-16,2017,1,16,Monday,03,2017-03,1414.14,1417.51,1403.62,1407.27,0,1407.27,-0.00563856595566159,1424.8114285714287,1424.8114285714287
2017-01-17,2017,1,17,Tuesday,03,2017-03,1404.8,1404.8,1378.48,1378.73,0,1378.73,-0.020280428536384565,1419.05125,1419.05125
2017-01-18,2017,1,18,Wednesday,03,2017-03,1384.49,1388.68,1365.77,1375.34,0,1375.34,-0.0024587951930116203,1414.1944444444443,1414.1944444444443
2017-01-19,2017,1,19,Thursday,03,2017-03,1384.73,1395.87,1379.12,1382.99,0,1382.99,0.005562278857722092,1411.074,1411.074
2017-01-20,2017,1,20,Friday,03,2017-03,1387.14,1395.63,1383.03,1391.15,0,1391.15,0.0059002843385038695,1409.2627272727273,1409.2627272727273
2017-01-23,2017,1,23,Monday,04,2017-04,1380.41,1380.66,1367.24,1367.24,0,1367.24,-0.017187243474878433,1405.7608333333335,1405.7608333333335
2017-01-24,2017,1,24,Tuesday,04,2017-04,1369.95,1378.77,1367.9,1369.77,0,1369.77,0.0018504646696599902,1402.9923076923078,1402.9923076923078
2017-01-25,2017,1,25,Wednesday,04,2017-04,1387.45,1387.45,1367.33,1369.99,0,1369.99,0.00016058951501962682,1400.635,1400.635
2017-01-26,2017,1,26,Thursday,04,2017-04,1379.25,1395.46,1374.67,1394.42,0,1394.42,0.017832286283170573,1397.345,1400.2206666666668
2017-01-27,2017,1,27,Friday,04,2017-04,1397.79,1405.09,1395.31,1396.45,0,1396.45,0.0014557358346765081,1393.24,1399.9850000000001
2017-01-30,2017,1,30,Monday,05,2017-05,1398.18,1404.22,1388.57,1403.87,0,1403.87,0.0053135051056327764,1391.2228571428573,1400.2135294117647
2017-01-31,2017,1,31,Tuesday,05,2017-05,1396.89,1410.35,1394.91,1406.32,0,1406.32,0.0017451410603519513,1390.2800000000002,1400.552777777778
2017-02-01,2017,2,1,Wednesday,05,2017-05,1415.57,1425.23,1407.61,1410.56,0,1410.56,0.003015041005338892,1390.667857142857,1401.0794736842104
2017-02-02,2017,2,2,Thursday,05,2017-05,1409.82,1415.24,1398.74,1401.45,0,1401.45,-0.006458503745637945,1389.6821428571427,1401.098
2017-02-03,2017,2,3,Friday,05,2017-05,1405.71,1413.91,1402.41,1405.84,0,1405.84,0.00313248050332926,1389.58,1401.3238095238096
2017-02-06,2017,2,6,Monday,06,2017-06,1413.44,1413.44,1397.77,1407.31,0,1407.31,0.001045704211844356,1391.6214285714286,1401.5959090909091
2017-02-07,2017,2,7,Tuesday,06,2017-06,1398.4,1400.88,1390.67,1397.58,0,1397.58,-0.006913972141139424,1393.2099999999998,1401.421304347826
2017-02-08,2017,2,8,Wednesday,06,2017-06,1403.52,1403.65,1389.28,1398.83,0,1398.83,0.0008944032107678357,1394.3414285714284,1401.3133333333333
2017-02-09,2017,2,9,Thursday,06,2017-06,1398.47,1405.4,1394.6,1402.59,0,1402.59,0.0026879677185567274,1395.1585714285716,1401.3644
2017-02-10,2017,2,10,Friday,06,2017-06,1414.6,1416.35,1408.47,1415.89,0,1415.89,0.00948249249761779,1398.6335714285713,1401.923076923077
2017-02-13,2017,2,13,Monday,07,2017-07,1424.2,1429.89,1417.78,1426.43,0,1426.43,0.007444108619635292,1402.6807142857142,1402.8307407407408
2017-02-14,2017,2,14,Tuesday,07,2017-07,1426.71,1426.71,1406.63,1406.63,0,1406.63,-0.013880841038517167,1405.2978571428573,1402.9664285714284
2017-02-15,2017,2,15,Wednesday,07,2017-07,1418.37,1419.11,1407.55,1409.31,0,1409.31,0.0019053011109064766,1406.3614285714284,1403.1851724137932
2017-02-16,2017,2,16,Thursday,07,2017-07,1414.07,1415.28,1407.87,1415.18,0,1415.18,0.00416515519873939,1407.6992857142857,1403.585
2017-02-17,2017,2,17,Friday,07,2017-07,1413.32,1419.59,1403.22,1419.59,0,1419.59,0.0031161491414546383,1408.8221428571428,1404.1012903225806
