Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,1319.64,1325.62,1315.53,1322.46,0,1322.46,0.0,1322.46,1322.46
2017-01-06,2017,1,6,Friday,01,2017-01,1317.82,1323.74,1311.23,1322.39,0,1322.39,-5.289104481687179e-05,1322.4250000000002,1322.4250000000002
2017-01-10,2017,1,10,Tuesday,02,2017-02,1302.89,1315.13,1294.28,1294.28,0,1294.28,-0.021256955240270492,1313.0433333333333,1313.0433333333333
2017-01-11,2017,1,11,Wednesday,02,2017-02,1304.03,1304.84,1291.73,1293.41,0,1293.41,-0.0006721846103583395,1308.135,1308.135
2017-01-12,2017,1,12,Thursday,02,2017-02,1295.29,1296.77,1272.23,1277.27,0,1277.27,-0.012478652725679495,1301.962,1301.962
2017-01-13,2017,1,13,Friday,02,2017-02,1276.8,1303.36,1275.52,1295.43,0,1295.43,0.014217850495192863,1300.8733333333332,1300.8733333333332
2017-01-16,2017,1,16,Monday,03,2017-03,1284.94,1289.85,1281.57,1287.42,0,1287.42,-0.006183282333676932,1298.9514285714286,1298.9514285714286
2017-01-17,2017,1,17,Tuesday,03,2017-03,1290.65,1290.65,1271.02,1271.15,0,1271.15,-0.012637693197156019,1295.4762500000002,1295.4762500000002
2017-01-18,2017,1,18,Wednesday,03,2017-03,1269.47,1273.64,1258.98,1264.16,0,1264.16,-0.005498949848659285,1291.996666666667,1291.996666666667
2017-01-19,2017,1,19,Thursday,03,2017-03,1279.56,1290.38,1276.46,1278.88,0,1278.88,0.011644072194290533,1290.685,1290.685
2017-01-20,2017,1,20,Friday,03,2017-03,1275.66,1287.29,1271.96,1282.78,0,1282.78,0.0030495624289785805,1289.9663636363637,1289.9663636363637
2017-01-23,2017,1,23,Monday,04,2017-04,1264.22,1268.73,1255.62,1260.93,0,1260.93,-0.01703329884073268,1287.5466666666669,1287.5466666666669
2017-01-24,2017,1,24,Tuesday,04,2017-04,1247.88,1252.45,1233.49,1245.86,0,1245.86,-0.011951549822310614,1284.3400000000001,1284.3400000000001
2017-01-25,2017,1,25,Wednesday,04,2017-04,1267.92,1268.53,1242.17,1249.56,0,1249.56,0.002969894920530347,1281.8557142857142,1281.8557142857142
2017-01-26,2017,1,26,Thursday,04,2017-04,1256.36,1260.39,1243.44,1251.18,0,1251.18,0.0012964523842180498,1276.7642857142857,1279.8106666666667
2017-01-27,2017,1,27,Friday,04,2017-04,1255.95,1261.87,1245.8,1249.23,0,1249.23,-0.0015585872204433304,1271.5385714285715,1277.899375
2017-01-30,2017,1,30,Monday,05,2017-05,1238.33,1239.48,1227.64,1236.38,0,1236.38,-0.010286317000746115,1267.402857142857,1275.4570588235295
2017-01-31,2017,1,31,Tuesday,05,2017-05,1228.58,1228.58,1187.29,1187.29,0,1187.29,-0.03970459375470525,1259.8228571428572,1270.558888888889
2017-02-01,2017,2,1,Wednesday,05,2017-05,1205.58,1213.85,1194.55,1194.75,0,1194.75,0.0062831832930987375,1253.9285714285713,1266.568947368421
2017-02-02,2017,2,2,Thursday,05,2017-05,1178.08,1179.56,1159.38,1167.99,0,1167.99,-0.022397999385331713,1244.8257142857144,1261.6399999999999
2017-02-03,2017,2,3,Friday,05,2017-05,1185.94,1188.7,1173.17,1173.17,0,1173.17,0.004435015500345196,1236.6650000000002,1257.4271428571428
2017-02-06,2017,2,6,Monday,06,2017-06,1176.46,1176.46,1162.07,1175.18,0,1175.18,0.0017133149418522287,1229.81,1253.6886363636365
2017-02-07,2017,2,7,Tuesday,06,2017-06,1163.89,1177.47,1162.54,1173.77,0,1173.77,-0.0011998452281716254,1223.3535714285715,1250.2139130434784
2017-02-08,2017,2,8,Wednesday,06,2017-06,1174.31,1178.68,1167.05,1177.07,0,1177.07,0.0028113912460725476,1216.0814285714284,1247.16625
2017-02-09,2017,2,9,Thursday,06,2017-06,1177.14,1186.15,1172.76,1185.88,0,1185.88,0.007484736673063042,1209.1599999999999,1244.7148000000002
2017-02-10,2017,2,10,Friday,06,2017-06,1201.82,1206.72,1199.26,1205.31,0,1205.31,0.01638450233660671,1205.1871428571428,1243.1992307692308
2017-02-13,2017,2,13,Monday,07,2017-07,1210.49,1210.49,1187.96,1191.32,0,1191.32,-0.011607065090794899,1201.2914285714287,1241.2777777777778
2017-02-14,2017,2,14,Tuesday,07,2017-07,1202.56,1202.56,1191.12,1193.21,0,1193.21,0.001586487873660447,1197.2664285714286,1239.5610714285715
2017-02-15,2017,2,15,Wednesday,07,2017-07,1199.6,1199.6,1170.88,1176.33,0,1176.33,-0.014146718042439055,1191.92,1237.3806896551725
2017-02-16,2017,2,16,Thursday,07,2017-07,1177.27,1177.34,1167.05,1170.54,0,1170.54,-0.004922017808342116,1186.2992857142856,1235.1526666666666
2017-02-17,2017,2,17,Friday,07,2017-07,1166.71,1167.32,1159.05,1167.32,0,1167.32,-0.002750946286311118,1181.3664285714287,1232.9645161290323
2017-02-20,2017,2,20,Monday,08,2017-08,1162.54,1173.3,1154.81,1171.28,0,1171.28,0.0033924572439645306,1180.222857142857,1231.036875
2017-02-21,2017,2,21,Tuesday,08,2017-08,1170.07,1177.74,1168.73,1174.98,0,1174.98,0.0031588954642178813,1178.810714285714,1229.338181818182
2017-02-22,2017,2,22,Wednesday,08,2017-08,1182.72,1182.72,1172.02,1173.3,0,1173.3,-0.0014297534158452807,1179.19,1227.69
2017-02-23,2017,2,23,Thursday,08,2017-08,1178.55,1191.59,1170.81,1190.38,0,1190.38,0.014557193679269664,1180.4192857142857,1226.624
2017-02-24,2017,2,24,Friday,08,2017-08,1187.96,1190.38,1178.35,1179.49,0,1179.49,-0.009148351453962422,1180.7271428571428,1225.3147222222224
2017-02-27,2017,2,27,Monday,09,2017-09,1171.62,1173.84,1158.44,1166.98,0,1166.98,-0.010606287352331933,1180.2421428571429,1223.738108108108
2017-02-28,2017,2,28,Tuesday,09,2017-09,1172.02,1189.11,1169.33,1177.54,0,1177.54,0.009049048630215717,1180.2757142857142,1222.5223684210525
2017-03-01,2017,3,1,Wednesday,09,2017-09,1188.23,1190.85,1177.67,1181.71,0,1181.71,0.003541214512179147,1179.9778571428571,1221.4758974358974
2017-03-02,2017,3,2,Thursday,09,2017-09,1187.22,1192.33,1184.33,1189.71,0,1189.71,0.006769850694711366,1178.8635714285715,1220.6817500000002
2017-03-03,2017,3,3,Friday,09,2017-09,1196.03,1197.38,1179.56,1186.28,0,1186.28,-0.002882998170345763,1178.5035714285714,1219.8426829268294
2017-03-06,2017,3,6,Monday,10,2017-10,1177.54,1180.5,1167.72,1168.59,0,1168.59,-0.014912215530634598,1176.7450000000001,1218.622380952381
2017-03-07,2017,3,7,Tuesday,10,2017-10,1170.34,1176.66,1169.2,1175.12,0,1175.12,0.005587955987873983,1176.6585714285716,1217.6106976744186
2017-03-08,2017,3,8,Wednesday,10,2017-10,1178.88,1184.06,1172.9,1183.79,0,1183.79,0.007378007336559689,1177.605,1216.8420454545455
2017-03-09,2017,3,9,Thursday,10,2017-10,1183.32,1183.32,1175.12,1179.09,0,1179.09,-0.003970360526018402,1178.4457142857143,1216.0031111111111
2017-03-10,2017,3,10,Friday,10,2017-10,1188.77,1198.72,1186.08,1191.12,0,1191.12,0.010202808645314532,1179.8628571428574,1215.4621739130434
2017-03-13,2017,3,13,Monday,11,2017-11,1185.41,1201.61,1185.41,1200.61,0,1200.61,0.007967283122840563,1181.6935714285714,1215.146170212766
2017-03-14,2017,3,14,Tuesday,11,2017-11,1199.26,1208.14,1197.51,1197.51,0,1197.51,-0.0025820005028774906,1183.422857142857,1214.77875
2017-03-15,2017,3,15,Wednesday,11,2017-11,1193.14,1197.44,1184.13,1189.31,0,1189.31,-0.006847501152395297,1183.3464285714285,1214.2589795918368
2017-03-16,2017,3,16,Thursday,11,2017-11,1187.56,1193.07,1185.88,1192.33,0,1192.33,0.0025392011436515816,1184.2635714285714,1213.8203999999998
2017-03-17,2017,3,17,Friday,11,2017-11,1181.98,1184.26,1170.01,1171.28,0,1171.28,-0.017654447622422298,1184.570714285714,1210.7968
2017-03-21,2017,3,21,Tuesday,12,2017-12,1170.81,1172.29,1164.9,1170.48,0,1170.48,-0.0006830551261129969,1184.0664285714286,1207.7586000000001
2017-03-22,2017,3,22,Wednesday,12,2017-12,1159.92,1165.77,1158.91,1159.38,0,1159.38,-0.009483268207195028,1182.4714285714285,1205.0606
2017-03-23,2017,3,23,Thursday,12,2017-12,1161.13,1168.19,1158.1,1166.64,0,1166.64,0.006261976000145664,1180.8235714285713,1202.5252
2017-03-24,2017,3,24,Friday,12,2017-12,1167.79,1184.4,1166.51,1182.65,0,1182.65,0.01372317901375042,1180.5642857142855,1200.6328
2017-03-27,2017,3,27,Monday,13,2017-13,1173.64,1175.72,1161.6,1173.44,0,1173.44,-0.007787665681041722,1180.9107142857142,1198.193
2017-03-28,2017,3,28,Tuesday,13,2017-13,1181.44,1196.44,1181.44,1190.92,0,1190.92,0.01489646118412713,1182.0392857142856,1196.263
2017-03-29,2017,3,29,Wednesday,13,2017-13,1185.54,1188.3,1179.96,1182.18,0,1182.18,-0.007338855600600103,1181.9242857142856,1194.4836
2017-03-30,2017,3,30,Thursday,13,2017-13,1180.77,1183.79,1134.63,1141.02,0,1141.02,-0.03481706026969711,1179.205,1192.0208
2017-03-31,2017,3,31,Friday,13,2017-13,1157.16,1179.56,1154.4,1154.4,0,1154.4,0.0117263541864141,1176.582142857143,1189.5312000000001
2017-04-03,2017,4,3,Monday,14,2017-14,1164.76,1178.55,1154.34,1172.56,0,1172.56,0.015731145006606218,1174.5785714285714,1187.3268
2017-04-04,2017,4,4,Tuesday,14,2017-14,1170.07,1184.6,1169.0,1182.65,0,1182.65,0.008605073783950479,1173.517142857143,1185.7612000000001
2017-04-05,2017,4,5,Wednesday,14,2017-14,1175.99,1186.82,1174.38,1183.19,0,1183.19,0.0004565315021702876,1173.08,1184.5078
2017-04-06,2017,4,6,Thursday,14,2017-14,1181.44,1181.57,1143.78,1144.12,0,1144.12,-0.03302085736346516,1169.6364285714285,1182.399
2017-04-07,2017,4,7,Friday,14,2017-14,1155.48,1159.18,1145.53,1151.98,0,1151.98,0.006869895976914009,1168.2578571428571,1180.415
2017-04-10,2017,4,10,Monday,15,2017-15,1165.16,1167.72,1152.05,1154.2,0,1154.2,0.0019270913911382248,1167.095,1178.5144
2017-04-11,2017,4,11,Tuesday,15,2017-15,1143.24,1157.63,1143.24,1153.67,0,1153.67,-0.0004591121547219412,1166.6871428571428,1176.8601999999998
2017-04-12,2017,4,12,Wednesday,15,2017-15,1147.14,1150.44,1137.93,1147.28,0,1147.28,-0.005538858083360632,1165.3042857142857,1176.06
2017-04-13,2017,4,13,Thursday,15,2017-15,1154.14,1161.8,1143.71,1155.01,0,1155.01,0.006737658000974145,1163.33,1175.2652
2017-04-14,2017,4,14,Friday,15,2017-15,1147.55,1150.77,1125.55,1131.07,0,1131.07,-0.02072714805425835,1160.3035714285716,1174.5267999999999
2017-04-17,2017,4,17,Monday,16,2017-16,1130.06,1158.31,1129.99,1158.31,0,1158.31,0.024083490498584936,1157.9742857142858,1174.2296
2017-04-18,2017,4,18,Tuesday,16,2017-16,1156.69,1167.52,1151.98,1166.38,0,1166.38,0.006967000095690956,1156.8457142857144,1174.0536
2017-04-19,2017,4,19,Wednesday,16,2017-16,1160.32,1173.37,1159.05,1169.47,0,1169.47,0.002649193065190625,1158.8778571428572,1173.9676000000002
2017-04-20,2017,4,20,Thursday,16,2017-16,1165.1,1168.33,1143.71,1143.78,0,1143.78,-0.0219671663658062,1158.1192857142858,1173.3018000000002
2017-04-21,2017,4,21,Friday,16,2017-16,1150.1,1164.56,1148.08,1160.93,0,1160.93,0.014994163191155874,1157.2885714285715,1172.8028
2017-04-24,2017,4,24,Monday,17,2017-17,1169.0,1180.3,1166.04,1177.74,0,1177.74,0.014479715181551445,1156.9378571428572,1172.2514
2017-04-25,2017,4,25,Tuesday,17,2017-17,1181.51,1196.03,1177.74,1189.71,0,1189.71,0.010163508756073414,1157.4035714285715,1172.2192
