Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,931.79,932.15,918.21,920.31,0,920.31,0.0,920.31,920.31
2017-01-06,2017,1,6,Friday,01,2017-01,911.17,911.17,900.01,905.53,0,905.53,-0.01605977149104887,912.92,912.92
2017-01-10,2017,1,10,Tuesday,02,2017-02,892.24,902.63,889.99,896.42,0,896.42,-0.010060457513256127,907.42,907.42
2017-01-11,2017,1,11,Wednesday,02,2017-02,901.13,905.76,900.39,903.33,0,903.33,0.0077084785161243286,906.3975,906.3975
2017-01-12,2017,1,12,Thursday,02,2017-02,901.4,902.64,890.57,895.09,0,895.09,-0.009121793894241281,904.1360000000001,904.1360000000001
2017-01-13,2017,1,13,Friday,02,2017-02,894.66,901.68,893.65,901.47,0,901.47,0.007127711913034629,903.6916666666666,903.6916666666666
2017-01-16,2017,1,16,Monday,03,2017-03,898.75,900.23,886.51,890.69,0,890.69,-0.011958211157395149,901.8342857142858,901.8342857142858
2017-01-17,2017,1,17,Tuesday,03,2017-03,884.27,886.41,872.28,872.28,0,872.28,-0.020669338483724986,898.14,898.14
2017-01-18,2017,1,18,Wednesday,03,2017-03,864.1,880.73,862.37,878.56,0,878.56,0.007199486461682447,895.9644444444444,895.9644444444444
2017-01-19,2017,1,19,Thursday,03,2017-03,887.22,892.59,883.72,891.07,0,891.07,0.014239220770793981,895.475,895.475
2017-01-20,2017,1,20,Friday,03,2017-03,897.04,900.76,891.25,897.5,0,897.5,0.00721603535404558,895.6590909090909,895.6590909090909
2017-01-23,2017,1,23,Monday,04,2017-04,883.99,888.05,880.35,881.3,0,881.3,-0.018050152876915027,894.4625,894.4625
2017-01-24,2017,1,24,Tuesday,04,2017-04,877.8,884.96,872.51,874.48,0,874.48,-0.007738576442396172,892.9253846153847,892.9253846153847
2017-01-25,2017,1,25,Wednesday,04,2017-04,890.69,898.43,889.61,893.28,0,893.28,0.021498546848433886,892.9507142857143,892.9507142857143
2017-01-26,2017,1,26,Thursday,04,2017-04,904.23,909.38,900.86,908.06,0,908.06,0.01654572785350683,892.0757142857144,893.958
2017-01-27,2017,1,27,Friday,04,2017-04,909.32,912.71,906.22,910.93,0,910.93,0.0031605787336781432,892.4614285714285,895.01875
2017-01-30,2017,1,30,Monday,05,2017-05,903.22,905.49,897.24,905.31,0,905.31,-0.006169513752290912,893.0964285714286,895.6241176470588
2017-01-31,2017,1,31,Tuesday,05,2017-05,902.2,902.4,895.12,895.74,0,895.74,-0.01057097276074137,892.5542857142857,895.6305555555556
2017-02-01,2017,2,1,Wednesday,05,2017-05,893.91,901.56,893.84,900.37,0,900.37,0.005168916128888146,892.9314285714285,895.8800000000001
2017-02-02,2017,2,2,Thursday,05,2017-05,903.05,905.33,886.57,888.21,0,888.21,-0.013505529071910716,891.9842857142858,895.4965
2017-02-03,2017,2,3,Friday,05,2017-05,894.21,895.65,881.13,883.25,0,883.25,-0.005584289582367452,891.4528571428572,894.9133333333333
2017-02-06,2017,2,6,Monday,06,2017-06,895.16,897.25,886.34,889.43,0,889.43,0.006996878206375623,892.6778571428571,894.664090909091
2017-02-07,2017,2,7,Tuesday,06,2017-06,884.59,894.56,883.45,890.22,0,890.22,0.000888184605701392,893.5107142857142,894.4708695652173
2017-02-08,2017,2,8,Wednesday,06,2017-06,895.27,908.78,895.27,908.78,0,908.78,0.020848845459050525,894.7757142857143,895.0670833333334
2017-02-09,2017,2,9,Thursday,06,2017-06,898.82,899.89,894.18,894.92,0,894.92,-0.015251266467026459,894.5914285714285,895.0612
2017-02-10,2017,2,10,Friday,06,2017-06,909.04,930.5,907.46,930.39,0,930.39,0.03963486391591964,898.0978571428572,896.42
2017-02-13,2017,2,13,Monday,07,2017-07,937.62,938.47,931.2,933.14,0,933.14,0.0029557496928200866,902.2878571428571,897.7800000000001
2017-02-14,2017,2,14,Tuesday,07,2017-07,935.17,935.96,920.26,920.7,0,920.7,-0.013331335326020821,904.2464285714286,898.5985714285714
2017-02-15,2017,2,15,Wednesday,07,2017-07,931.32,934.53,929.2,931.63,0,931.63,0.01187139408153226,905.93,899.7375862068965
2017-02-16,2017,2,16,Thursday,07,2017-07,929.76,932.95,922.23,929.79,0,929.79,-0.001975061822638735,907.277142857143,900.7393333333333
2017-02-17,2017,2,17,Friday,07,2017-07,923.87,926.16,921.19,924.55,0,924.55,-0.005635670805456794,908.6514285714285,901.5074193548387
2017-02-20,2017,2,20,Monday,08,2017-08,920.84,927.09,915.94,925.67,0,925.67,0.0012113948753178505,910.7892857142857,902.2625
2017-02-21,2017,2,21,Tuesday,08,2017-08,926.85,933.33,926.41,932.25,0,932.25,0.007108383345387548,913.0664285714286,903.1712121212122
2017-02-22,2017,2,22,Wednesday,08,2017-08,936.53,938.02,931.98,933.53,0,933.53,0.0013730536839635654,916.3035714285714,904.0641176470589
2017-02-23,2017,2,23,Thursday,08,2017-08,930.63,932.95,926.08,932.18,0,932.18,-0.0014461630357093247,919.7985714285713,904.8674285714286
2017-02-24,2017,2,24,Friday,08,2017-08,918.6,924.39,915.72,918.98,0,918.98,-0.014160368502590615,921.9092857142857,905.2594444444444
2017-02-27,2017,2,27,Monday,09,2017-09,915.02,921.61,905.75,911.07,0,911.07,-0.008607339999394337,923.3985714285715,905.4164864864864
2017-02-28,2017,2,28,Tuesday,09,2017-09,927.14,931.59,920.39,920.66,0,920.66,0.010526047112974224,924.2471428571428,905.8176315789474
2017-03-01,2017,3,1,Wednesday,09,2017-09,924.7,934.07,922.76,933.66,0,933.66,0.014120305410474376,927.0142857142857,906.5315384615384
2017-03-02,2017,3,2,Thursday,09,2017-09,947.61,960.65,947.61,953.02,0,953.02,0.020735649962067892,928.6307142857142,907.69375
2017-03-03,2017,3,3,Friday,09,2017-09,950.9,954.56,945.27,948.45,0,948.45,-0.004795289952530646,929.7242857142857,908.6878048780487
2017-03-06,2017,3,6,Monday,10,2017-10,947.29,950.71,943.48,948.64,0,948.64,0.00020032942059233783,931.72,909.6390476190476
2017-03-07,2017,3,7,Tuesday,10,2017-10,946.07,946.34,941.65,944.75,0,944.75,-0.004100622563216638,932.657142857143,910.4555813953488
