Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,3504.58,3515.63,3487.62,3509.22,0,3509.22,0.0,3509.22,3509.22
2017-01-06,2017,1,6,Friday,01,2017-01,3449.91,3472.17,3419.27,3470.88,0,3470.88,-0.010925529949877388,3490.05,3490.05
2017-01-10,2017,1,10,Tuesday,02,2017-02,3437.59,3448.04,3385.57,3385.57,0,3385.57,-0.024578728545338602,3455.2233333333334,3455.2233333333334
2017-01-11,2017,1,11,Wednesday,02,2017-02,3423.97,3426.72,3403.57,3413.99,0,3413.99,0.008394427319819764,3444.915,3444.915
2017-01-12,2017,1,12,Thursday,02,2017-02,3372.08,3381.3,3342.29,3369.14,0,3369.14,-0.013137149723503105,3429.7599999999998,3429.7599999999998
2017-01-13,2017,1,13,Friday,02,2017-02,3368.19,3401.04,3368.19,3401.04,0,3401.04,0.009468335391667138,3424.9733333333334,3424.9733333333334
2017-01-16,2017,1,16,Monday,03,2017-03,3382.69,3394.47,3345.04,3349.12,0,3349.12,-0.015265895513923988,3414.137142857143,3414.137142857143
2017-01-17,2017,1,17,Tuesday,03,2017-03,3343.3,3368.51,3322.27,3343.49,0,3343.49,-0.0016810764487757979,3405.30625,3405.30625
2017-01-18,2017,1,18,Wednesday,03,2017-03,3318.64,3365.82,3303.6,3358.43,0,3358.43,0.004468367319742761,3400.0977777777775,3400.0977777777775
2017-01-19,2017,1,19,Thursday,03,2017-03,3416.8,3430.42,3375.36,3383.95,0,3383.95,0.007598794689988697,3398.483,3398.483
2017-01-20,2017,1,20,Friday,03,2017-03,3396.21,3487.93,3393.65,3472.71,0,3472.71,0.02622970523984458,3405.2309090909093,3405.2309090909093
2017-01-23,2017,1,23,Monday,04,2017-04,3416.68,3432.5,3388.88,3403.38,0,3403.38,-0.019964258145613645,3405.0766666666664,3405.0766666666664
2017-01-24,2017,1,24,Tuesday,04,2017-04,3365.7,3380.2,3343.4,3350.0,0,3350.0,-0.015684373960742737,3400.8399999999997,3400.8399999999997
2017-01-25,2017,1,25,Wednesday,04,2017-04,3407.8,3412.07,3368.83,3380.99,0,3380.99,0.0092507433535447,3399.4221428571427,3399.4221428571427
2017-01-26,2017,1,26,Thursday,04,2017-04,3434.71,3515.0,3434.71,3500.32,0,3500.32,0.03529441922918197,3398.786428571428,3406.1486666666665
2017-01-27,2017,1,27,Friday,04,2017-04,3569.2,3576.88,3525.71,3538.31,0,3538.31,0.010853290411291239,3403.6028571428574,3414.40875
2017-01-30,2017,1,30,Monday,05,2017-05,3483.26,3502.65,3470.85,3485.25,0,3485.25,-0.014995875916775314,3410.7228571428573,3418.5758823529413
2017-01-31,2017,1,31,Tuesday,05,2017-05,3451.42,3476.91,3438.69,3444.09,0,3444.09,-0.011809744526038335,3412.8728571428574,3419.9933333333333
2017-02-01,2017,2,1,Wednesday,05,2017-05,3394.22,3453.41,3391.0,3444.54,0,3444.54,0.00013064442578225588,3418.258571428571,3421.285263157895
2017-02-02,2017,2,2,Thursday,05,2017-05,3450.32,3453.76,3419.43,3429.75,0,3429.75,-0.004293763142473317,3420.309285714286,3421.7084999999997
2017-02-03,2017,2,3,Friday,05,2017-05,3456.6,3495.8,3439.8,3444.98,0,3444.98,0.004440551197244735,3427.156428571429,3422.8166666666666
2017-02-06,2017,2,6,Monday,06,2017-06,3495.77,3500.95,3451.52,3458.65,0,3458.65,0.003968070047576822,3435.382142857143,3424.4454545454546
2017-02-07,2017,2,7,Tuesday,06,2017-06,3408.15,3445.58,3408.15,3429.03,0,3429.03,-0.008563998636231807,3440.425,3424.6447826086956
2017-02-08,2017,2,8,Wednesday,06,2017-06,3447.98,3463.68,3425.99,3450.19,0,3450.19,0.006170815632581039,3445.156428571428,3425.709166666667
2017-02-09,2017,2,9,Thursday,06,2017-06,3420.12,3452.53,3420.12,3436.58,0,3436.58,-0.003944670731867772,3442.575714285714,3426.1440000000002
2017-02-10,2017,2,10,Friday,06,2017-06,3494.88,3530.92,3479.56,3521.32,0,3521.32,0.02465823240196663,3451.0,3429.8046153846153
2017-02-13,2017,2,13,Monday,07,2017-07,3560.23,3567.37,3517.56,3520.4,0,3520.4,-0.0002613128025177325,3463.171428571429,3433.1600000000003
2017-02-14,2017,2,14,Tuesday,07,2017-07,3548.39,3550.38,3486.29,3486.67,0,3486.67,-0.009581292297586419,3470.7200000000003,3435.0710714285715
2017-02-15,2017,2,15,Wednesday,07,2017-07,3548.89,3677.76,3548.89,3628.96,0,3628.96,0.0408097245368102,3479.9085714285716,3441.756896551724
2017-02-16,2017,2,16,Thursday,07,2017-07,3645.64,3673.85,3627.64,3672.46,0,3672.46,0.011986905468299058,3489.490714285714,3449.447
2017-02-17,2017,2,17,Friday,07,2017-07,3650.06,3656.13,3611.72,3638.16,0,3638.16,-0.009339801983673346,3500.412857142857,3455.5345161290325
2017-02-20,2017,2,20,Monday,08,2017-08,3602.65,3642.17,3598.39,3634.81,0,3634.81,-0.0009207548861377424,3514.035714285714,3461.136875
2017-02-21,2017,2,21,Tuesday,08,2017-08,3628.46,3684.59,3628.46,3684.59,0,3684.59,0.013695359178172328,3531.182142857143,3467.9081818181817
2017-02-22,2017,2,22,Wednesday,08,2017-08,3672.65,3679.5,3659.67,3667.5,0,3667.5,-0.0046382602902806935,3548.164285714286,3473.778529411765
2017-02-23,2017,2,23,Thursday,08,2017-08,3662.82,3672.93,3634.68,3665.0,0,3665.0,-0.0006816632583503957,3563.88,3479.242
2017-02-24,2017,2,24,Friday,08,2017-08,3630.13,3670.91,3617.47,3631.21,0,3631.21,-0.009219655951568928,3576.2057142857143,3483.463333333333
2017-02-27,2017,2,27,Monday,09,2017-09,3558.12,3567.21,3496.34,3518.86,0,3518.86,-0.030940059848981738,3582.622142857143,3484.4199999999996
2017-02-28,2017,2,28,Tuesday,09,2017-09,3551.52,3584.9,3535.63,3537.24,0,3537.24,0.005223249078226688,3588.84,3485.81
2017-03-01,2017,3,1,Wednesday,09,2017-09,3577.98,3607.08,3547.22,3596.37,0,3596.37,0.016716458910442045,3600.253571428572,3488.6448717948715
2017-03-02,2017,3,2,Thursday,09,2017-09,3657.33,3681.27,3624.38,3627.32,0,3627.32,0.008605885980411454,3607.8250000000003,3492.11175
2017-03-03,2017,3,3,Friday,09,2017-09,3622.17,3645.48,3615.79,3634.02,0,3634.02,0.0018470802260648345,3615.940714285714,3495.572926829268
2017-03-06,2017,3,6,Monday,10,2017-10,3577.73,3592.51,3556.19,3579.12,0,3579.12,-0.015107209660014886,3622.5442857142857,3497.5621428571426
2017-03-07,2017,3,7,Tuesday,10,2017-10,3587.46,3608.28,3580.7,3594.69,0,3594.69,0.004350182086368504,3620.096428571429,3499.8209302325577
2017-03-08,2017,3,8,Wednesday,10,2017-10,3591.69,3600.95,3575.84,3597.28,0,3597.28,0.0007205316544245388,3614.7264285714286,3502.0359090909087
