Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,809.89,813.63,808.4,812.13,0,812.13,0.0,812.13,812.13
2017-01-06,2017,1,6,Friday,01,2017-01,805.15,815.92,803.92,815.28,0,815.28,0.0038787194108373946,813.7049999999999,813.7049999999999
2017-01-10,2017,1,10,Tuesday,02,2017-02,804.08,805.9,791.93,799.5,0,799.5,-0.019355348751133095,808.9699999999999,808.9699999999999
2017-01-11,2017,1,11,Wednesday,02,2017-02,798.97,800.99,794.75,800.25,0,800.25,0.0009380863039398779,806.79,806.79
2017-01-12,2017,1,12,Thursday,02,2017-02,800.67,800.67,789.42,792.62,0,792.62,-0.009534526563964363,803.9559999999999,803.9559999999999
2017-01-13,2017,1,13,Friday,02,2017-02,790.81,796.67,787.4,793.1,0,793.1,0.0006055618981439803,802.1466666666666,802.1466666666666
2017-01-16,2017,1,16,Monday,03,2017-03,788.62,791.34,783.45,784.36,0,784.36,-0.011020035939249606,799.6057142857143,799.6057142857143
2017-01-17,2017,1,17,Tuesday,03,2017-03,784.09,784.09,772.74,773.16,0,773.16,-0.014279173359425301,796.3,796.3
2017-01-18,2017,1,18,Wednesday,03,2017-03,769.96,774.34,762.23,773.11,0,773.11,-6.465388109200276e-05,793.7233333333334,793.7233333333334
2017-01-19,2017,1,19,Thursday,03,2017-03,782.49,786.86,779.19,785.26,0,785.26,0.015715777372268036,792.8770000000001,792.8770000000001
2017-01-20,2017,1,20,Friday,03,2017-03,783.24,789.85,781.91,786.33,0,786.33,0.0013626153260219986,792.2818181818183,792.2818181818183
2017-01-23,2017,1,23,Monday,04,2017-04,780.04,780.04,774.39,774.44,0,774.44,-0.015120896303109088,790.7950000000001,790.7950000000001
2017-01-24,2017,1,24,Tuesday,04,2017-04,772.47,779.67,772.26,777.8,0,777.8,0.004338599944437638,789.7953846153846,789.7953846153846
2017-01-25,2017,1,25,Wednesday,04,2017-04,794.38,794.38,783.03,783.88,0,783.88,0.007816941611295203,789.3728571428571,789.3728571428571
2017-01-26,2017,1,26,Thursday,04,2017-04,791.29,796.57,789.58,790.12,0,790.12,0.00796038959471601,787.8007142857143,789.4226666666667
2017-01-27,2017,1,27,Friday,04,2017-04,795.23,799.18,790.76,793.42,0,793.42,0.004176565348759764,786.2392857142858,789.6725
2017-01-30,2017,1,30,Monday,05,2017-05,790.44,790.97,785.16,789.96,0,789.96,-0.004360819001318017,785.5578571428571,789.6894117647058
2017-01-31,2017,1,31,Tuesday,05,2017-05,781.0,783.45,768.37,768.79,0,768.79,-0.026798880141361447,783.3107142857143,788.5283333333333
2017-02-01,2017,2,1,Wednesday,05,2017-05,761.65,765.7,758.61,763.51,0,763.51,-0.0068678942398113785,781.2314285714285,787.2115789473685
2017-02-02,2017,2,2,Thursday,05,2017-05,767.94,769.17,751.95,753.23,0,753.23,-0.01346417095439345,778.3835714285715,785.5125
2017-02-03,2017,2,3,Friday,05,2017-05,753.6,756.21,749.55,753.44,0,753.44,0.0002788284828034726,776.1750000000001,783.9852380952381
2017-02-06,2017,2,6,Monday,06,2017-06,758.02,758.02,747.57,748.91,0,748.91,-0.006012461884418285,774.4428571428572,782.3909090909091
2017-02-07,2017,2,7,Tuesday,06,2017-06,741.87,745.92,740.11,744.59,0,744.59,-0.005768311871884757,772.4057142857143,780.7473913043477
