Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,170.7,172.89,169.11,169.71,0,169.71,0.0,169.71,169.71
2017-01-06,2017,1,6,Friday,01,2017-01,167.53,168.92,167.33,168.72,0,168.72,-0.005833512780617722,169.215,169.215
2017-01-10,2017,1,10,Tuesday,02,2017-02,167.92,169.31,166.73,167.53,0,167.53,-0.007053120156451431,168.65333333333334,168.65333333333334
2017-01-11,2017,1,11,Wednesday,02,2017-02,168.72,170.31,168.52,169.71,0,169.71,0.013012642216050141,168.91750000000002,168.91750000000002
2017-01-12,2017,1,12,Thursday,02,2017-02,169.31,169.71,166.34,167.92,0,167.92,-0.01054745432860571,168.71800000000002,168.71800000000002
2017-01-13,2017,1,13,Friday,02,2017-02,166.14,168.72,165.54,168.72,0,168.72,0.004764191641742022,168.71833333333333,168.71833333333333
2017-01-16,2017,1,16,Monday,03,2017-03,167.73,167.73,164.55,165.34,0,165.34,-0.020033219881210762,168.2357142857143,168.2357142857143
2017-01-17,2017,1,17,Tuesday,03,2017-03,164.75,167.33,163.76,164.75,0,164.75,-0.003568382429892547,167.8,167.8
2017-01-18,2017,1,18,Wednesday,03,2017-03,165.14,169.31,163.36,168.72,0,168.72,0.02409712425312982,167.9022222222222,167.9022222222222
2017-01-19,2017,1,19,Thursday,03,2017-03,172.09,175.47,171.3,174.67,0,174.67,0.03526551034372605,168.579,168.579
2017-01-20,2017,1,20,Friday,03,2017-03,174.08,177.45,173.88,175.86,0,175.86,0.006812861131739734,169.2409090909091,169.2409090909091
2017-01-23,2017,1,23,Monday,04,2017-04,174.08,175.27,172.69,173.08,0,173.08,-0.015808022117868914,169.56083333333333,169.56083333333333
2017-01-24,2017,1,24,Tuesday,04,2017-04,172.09,176.46,172.09,174.28,0,174.28,0.006933192370852437,169.92384615384617,169.92384615384617
2017-01-25,2017,1,25,Wednesday,04,2017-04,177.05,178.25,174.67,175.07,0,175.07,0.004532984567680254,170.29142857142855,170.29142857142855
2017-01-26,2017,1,26,Thursday,04,2017-04,177.25,180.43,177.25,179.44,0,179.44,0.024961415058917247,170.98642857142858,170.90133333333333
2017-01-27,2017,1,27,Friday,04,2017-04,179.63,179.63,177.25,177.85,0,177.85,-0.008860880050477138,171.63857142857142,171.335625
2017-01-30,2017,1,30,Monday,05,2017-05,178.05,180.23,177.85,178.64,0,178.64,0.004441907557051206,172.43214285714288,171.76529411764707
2017-01-31,2017,1,31,Tuesday,05,2017-05,175.07,175.86,171.1,173.68,0,173.68,-0.027765375788254776,172.71571428571428,171.87166666666667
2017-02-01,2017,2,1,Wednesday,05,2017-05,170.9,173.48,170.5,173.28,0,173.28,-0.002303051090237318,173.0985714285714,171.9457894736842
2017-02-02,2017,2,2,Thursday,05,2017-05,174.28,174.47,168.32,168.92,0,168.92,-0.025161591880577094,173.11285714285714,171.7945
2017-02-03,2017,2,3,Friday,05,2017-05,170.31,171.5,167.53,168.32,0,168.32,-0.0035519231069756074,173.32571428571427,171.6290476190476
2017-02-06,2017,2,6,Monday,06,2017-06,170.11,171.3,168.52,170.5,0,170.5,0.012951476835324494,173.73642857142858,171.5777272727273
2017-02-07,2017,2,7,Tuesday,06,2017-06,169.71,171.3,169.51,169.71,0,169.71,-0.0046333917075238595,173.80714285714288,171.49652173913043
2017-02-08,2017,2,8,Wednesday,06,2017-06,170.5,171.7,169.91,171.3,0,171.3,0.009368901508391092,173.56642857142856,171.48833333333334
2017-02-09,2017,2,9,Thursday,06,2017-06,170.11,170.7,169.51,170.11,0,170.11,-0.006946890952749696,173.15571428571428,171.4332
2017-02-10,2017,2,10,Friday,06,2017-06,173.68,176.26,172.89,175.66,0,175.66,0.03262596573890142,173.34,171.59576923076924
2017-02-13,2017,2,13,Monday,07,2017-07,177.65,178.44,176.46,178.25,0,178.25,0.014744371421468339,173.6235714285714,171.8422222222222
2017-02-14,2017,2,14,Tuesday,07,2017-07,179.44,180.03,177.45,177.85,0,177.85,-0.0022440050293653924,173.82214285714286,172.05678571428572
2017-02-15,2017,2,15,Wednesday,07,2017-07,180.03,181.82,180.03,180.23,0,180.23,0.013382004736273156,173.87857142857143,172.33862068965516
2017-02-16,2017,2,16,Thursday,07,2017-07,179.44,180.63,177.85,180.23,0,180.23,0.0,174.04857142857145,172.60166666666666
2017-02-17,2017,2,17,Friday,07,2017-07,179.24,180.83,178.44,178.84,0,178.84,-0.007712364326689314,174.06285714285713,172.80290322580646
2017-02-20,2017,2,20,Monday,08,2017-08,179.04,180.03,177.05,180.03,0,180.03,0.006654006183034911,174.51642857142858,173.02875
