Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,251.51,251.77,247.45,250.29,0,250.29,0.0,250.29,250.29
2017-01-06,2017,1,6,Friday,01,2017-01,245.57,248.2,245.57,247.94,0,247.94,-0.009389072307177893,249.115,249.115
2017-01-10,2017,1,10,Tuesday,02,2017-02,245.57,247.16,244.15,244.26,0,244.26,-0.01484233241241495,247.49666666666667,247.49666666666667
2017-01-11,2017,1,11,Wednesday,02,2017-02,243.89,247.05,242.99,246.78,0,246.78,0.010316893184038722,247.3175,247.3175
2017-01-12,2017,1,12,Thursday,02,2017-02,246.06,247.45,243.08,245.28,0,245.28,-0.0060782883840658775,246.91,246.91
2017-01-13,2017,1,13,Friday,02,2017-02,243.45,247.1,243.45,246.64,0,246.64,0.005544686142856969,246.865,246.865
2017-01-16,2017,1,16,Monday,03,2017-03,246.87,247.51,242.15,242.58,0,242.58,-0.01646122919494364,246.25285714285715,246.25285714285715
2017-01-17,2017,1,17,Tuesday,03,2017-03,242.73,243.11,240.12,240.7,0,240.7,-0.00775004068192664,245.55875,245.55875
2017-01-18,2017,1,18,Wednesday,03,2017-03,240.5,247.22,240.18,246.61,0,246.61,0.024553401483341952,245.67555555555555,245.67555555555555
2017-01-19,2017,1,19,Thursday,03,2017-03,246.81,247.02,243.68,245.8,0,245.8,-0.0032845284318926415,245.68800000000002,245.68800000000002
2017-01-20,2017,1,20,Friday,03,2017-03,247.05,250.64,246.99,248.32,0,248.32,0.01025225484610881,245.9272727272727,245.9272727272727
2017-01-23,2017,1,23,Monday,04,2017-04,245.68,247.45,243.86,246.44,0,246.44,-0.007570895728743587,245.97,245.97
2017-01-24,2017,1,24,Tuesday,04,2017-04,244.76,244.76,242.32,243.42,0,243.42,-0.01225452135425531,245.77384615384614,245.77384615384614
2017-01-25,2017,1,25,Wednesday,04,2017-04,247.25,247.68,245.68,246.26,0,246.26,0.011667062522609628,245.80857142857144,245.80857142857144
2017-01-26,2017,1,26,Thursday,04,2017-04,248.06,248.06,236.24,239.43,0,239.43,-0.02773492237231856,245.03285714285715,245.38333333333333
2017-01-27,2017,1,27,Friday,04,2017-04,244.35,249.77,244.35,246.93,0,246.93,0.0313243963973886,244.96071428571426,245.48
2017-01-30,2017,1,30,Monday,05,2017-05,245.13,247.45,244.73,247.13,0,247.13,0.0008099955977962647,245.1657142857143,245.57705882352943
2017-01-31,2017,1,31,Tuesday,05,2017-05,242.56,244.58,241.54,242.15,0,242.15,-0.020151381410321356,244.835,245.38666666666666
2017-02-01,2017,2,1,Wednesday,05,2017-05,239.31,243.05,237.83,243.02,0,243.02,0.0035928573111940754,244.67357142857142,245.26210526315788
2017-02-02,2017,2,2,Thursday,05,2017-05,240.61,240.61,234.88,235.69,0,235.69,-0.03016213357825759,243.89142857142858,244.7835
2017-02-03,2017,2,3,Friday,05,2017-05,237.22,240.03,235.6,239.28,0,239.28,0.015231856679127187,243.65571428571428,244.52142857142857
2017-02-06,2017,2,6,Monday,06,2017-06,241.34,243.31,240.41,241.14,0,241.14,0.007773322550319595,243.68714285714287,244.36772727272728
2017-02-07,2017,2,7,Tuesday,06,2017-06,238.59,240.44,237.66,239.02,0,239.02,-0.008791553133256413,243.145,244.13521739130434
2017-02-08,2017,2,8,Wednesday,06,2017-06,236.62,239.22,235.37,239.19,0,239.19,0.0007112298799540895,242.67285714285714,243.92916666666667
2017-02-09,2017,2,9,Thursday,06,2017-06,241.28,243.71,240.27,241.86,0,241.86,0.011162666255665865,242.21142857142857,243.8464
2017-02-10,2017,2,10,Friday,06,2017-06,244.9,251.22,244.76,249.28,0,249.28,0.030678897503598757,242.41428571428574,244.0553846153846
2017-02-13,2017,2,13,Monday,07,2017-07,254.49,261.36,254.49,258.46,0,258.46,0.036826029848904485,243.48857142857145,244.58888888888887
2017-02-14,2017,2,14,Tuesday,07,2017-07,258.11,260.28,255.45,256.17,0,256.17,-0.008860087065899913,244.19642857142858,245.0025
2017-02-15,2017,2,15,Wednesday,07,2017-07,259.41,259.41,256.03,257.68,0,257.68,0.005894441850715859,245.5,245.43965517241378
2017-02-16,2017,2,16,Thursday,07,2017-07,255.97,258.55,255.85,257.65,0,257.65,-0.00011641873699763661,246.2657142857143,245.84666666666666
2017-02-17,2017,2,17,Friday,07,2017-07,255.19,255.91,252.32,252.81,0,252.81,-0.018785159916732574,246.67142857142858,246.07129032258064
2017-02-20,2017,2,20,Monday,08,2017-08,251.59,252.61,249.86,251.71,0,251.71,-0.004351057534706992,247.3542857142857,246.2475
2017-02-21,2017,2,21,Tuesday,08,2017-08,256.63,256.78,252.4,252.93,0,252.93,0.004846791662521666,248.06214285714285,246.45000000000002
2017-02-22,2017,2,22,Wednesday,08,2017-08,254.72,256.37,254.06,254.69,0,254.69,0.006958485812637694,249.4192857142857,246.6923529411765
2017-02-23,2017,2,23,Thursday,08,2017-08,259.18,259.18,253.53,257.1,0,257.1,0.009462498091827642,250.69214285714287,246.98971428571426
2017-02-24,2017,2,24,Friday,08,2017-08,257.1,259.56,256.26,256.55,0,256.55,-0.002139316598559038,251.79285714285714,247.2552777777778
2017-02-27,2017,2,27,Monday,09,2017-09,251.45,252.93,247.57,250.17,0,250.17,-0.024868407435559736,252.58928571428572,247.33405405405406
2017-02-28,2017,2,28,Tuesday,09,2017-09,252.84,256.6,252.11,252.23,0,252.23,0.00823439090886735,253.5207142857143,247.46289473684212
2017-03-01,2017,3,1,Wednesday,09,2017-09,251.39,253.22,249.28,251.88,0,251.88,-0.0013875861343018991,254.23642857142858,247.57615384615383
2017-03-02,2017,3,2,Thursday,09,2017-09,253.3,255.19,252.78,253.07,0,253.07,0.004724481571929173,254.50714285714284,247.7135
2017-03-03,2017,3,3,Friday,09,2017-09,248.99,249.86,245.92,247.91,0,247.91,-0.020389629402028153,253.7535714285714,247.71829268292686
2017-03-06,2017,3,6,Monday,10,2017-10,247.1,250.87,247.1,250.46,0,250.46,0.010286003041786618,253.34571428571425,247.78357142857143
2017-03-07,2017,3,7,Tuesday,10,2017-10,251.59,254.46,250.93,254.0,0,254.0,0.014133966267025677,253.08285714285714,247.9281395348837
2017-03-08,2017,3,8,Wednesday,10,2017-10,253.77,255.13,251.97,252.52,0,252.52,-0.005826754832830905,252.71642857142857,248.0325
2017-03-09,2017,3,9,Thursday,10,2017-10,248.32,251.62,247.83,249.94,0,249.94,-0.010217019592122845,252.51142857142855,248.0748888888889
2017-03-10,2017,3,10,Friday,10,2017-10,251.94,252.26,249.77,251.74,0,251.74,0.007201740554434899,252.51357142857142,248.1545652173913
2017-03-13,2017,3,13,Monday,11,2017-11,249.51,251.77,249.3,250.43,0,250.43,-0.005203832481120663,252.335,248.20297872340427
2017-03-14,2017,3,14,Tuesday,11,2017-11,254.63,256.23,253.59,253.82,0,253.82,0.013536775736069151,252.27285714285716,248.32000000000002
2017-03-15,2017,3,15,Wednesday,11,2017-11,251.8,251.8,248.38,248.93,0,248.93,-0.01926567846242,251.68928571428572,248.33244897959185
2017-03-16,2017,3,16,Thursday,11,2017-11,249.68,252.55,249.48,251.13,0,251.13,0.008837875192872602,251.30214285714285,248.3884
2017-03-17,2017,3,17,Friday,11,2017-11,250.46,251.22,248.93,249.68,0,249.68,-0.005773950459276644,251.26714285714283,248.37619999999998
2017-03-21,2017,3,21,Tuesday,12,2017-12,249.74,249.91,247.97,248.49,0,248.49,-0.004766049413348239,251.0,248.3872
