Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,2998.42,2998.42,2966.38,2978.05,0,2978.05,0.0,2978.05,2978.05
2017-01-06,2017,1,6,Friday,01,2017-01,2943.14,2957.77,2935.19,2956.27,0,2956.27,-0.007313520236318927,2967.16,2967.16
2017-01-10,2017,1,10,Tuesday,02,2017-02,2942.38,2963.5,2923.7,2930.01,0,2930.01,-0.008882818413789129,2954.7766666666666,2954.7766666666666
2017-01-11,2017,1,11,Wednesday,02,2017-02,2929.85,2935.14,2920.12,2931.0,0,2931.0,0.00033787947176810995,2948.8325,2948.8325
2017-01-12,2017,1,12,Thursday,02,2017-02,2917.14,2925.66,2884.25,2898.88,0,2898.88,-0.010958757143466391,2938.842,2938.842
2017-01-13,2017,1,13,Friday,02,2017-02,2900.55,2930.0,2896.17,2924.75,0,2924.75,0.008924177003981626,2936.4933333333333,2936.4933333333333
2017-01-16,2017,1,16,Monday,03,2017-03,2919.38,2920.48,2875.53,2878.62,0,2878.62,-0.015772248162236102,2928.2257142857147,2928.2257142857147
2017-01-17,2017,1,17,Tuesday,03,2017-03,2873.7,2873.7,2833.3,2834.27,0,2834.27,-0.015406721224327957,2916.48125,2916.48125
2017-01-18,2017,1,18,Wednesday,03,2017-03,2837.72,2861.19,2808.0,2855.46,0,2855.46,0.007476331210586107,2909.7011111111115,2909.7011111111115
2017-01-19,2017,1,19,Thursday,03,2017-03,2882.49,2895.76,2873.52,2887.67,0,2887.67,0.011280130479197847,2907.498,2907.498
2017-01-20,2017,1,20,Friday,03,2017-03,2872.24,2883.21,2856.67,2875.39,0,2875.39,-0.004252573745998411,2904.5790909090906,2904.5790909090906
2017-01-23,2017,1,23,Monday,04,2017-04,2847.31,2852.28,2819.23,2819.23,0,2819.23,-0.019531233748276478,2897.4666666666667,2897.4666666666667
2017-01-24,2017,1,24,Tuesday,04,2017-04,2790.41,2798.05,2778.35,2784.68,0,2784.68,-0.01225513671019507,2888.790769230769,2888.790769230769
2017-01-25,2017,1,25,Wednesday,04,2017-04,2830.54,2830.54,2779.08,2788.37,0,2788.37,0.0013251740370394671,2881.6178571428572,2881.6178571428572
2017-01-26,2017,1,26,Thursday,04,2017-04,2815.82,2852.19,2809.65,2842.83,0,2842.83,0.019531109088355647,2871.9592857142857,2879.032
2017-01-27,2017,1,27,Friday,04,2017-04,2847.62,2856.96,2831.14,2838.73,0,2838.73,-0.001442259137399482,2863.5635714285713,2876.513125
2017-01-30,2017,1,30,Monday,05,2017-05,2833.15,2844.98,2814.55,2836.92,0,2836.92,-0.0006376297168817491,2856.9142857142856,2874.184117647059
2017-01-31,2017,1,31,Tuesday,05,2017-05,2811.26,2850.83,2810.29,2811.94,0,2811.94,-0.008805317441685112,2848.41,2870.726111111111
2017-02-01,2017,2,1,Wednesday,05,2017-05,2796.34,2813.43,2777.27,2812.2,0,2812.2,9.246632966664059e-05,2842.218571428571,2867.645789473684
2017-02-02,2017,2,2,Thursday,05,2017-05,2804.12,2804.12,2752.45,2758.91,0,2758.91,-0.018949591063143756,2830.3728571428574,2862.209
2017-02-03,2017,2,3,Friday,05,2017-05,2769.14,2773.35,2742.31,2742.96,0,2742.96,-0.0057812511752803886,2820.682857142857,2856.5304761904763
2017-02-06,2017,2,6,Monday,06,2017-06,2766.65,2772.82,2723.88,2727.36,0,2727.36,-0.005687233403980585,2813.046428571429,2850.659090909091
2017-02-07,2017,2,7,Tuesday,06,2017-06,2711.19,2747.24,2707.06,2740.1,0,2740.1,0.004671180090852767,2804.8064285714286,2845.8521739130433
2017-02-08,2017,2,8,Wednesday,06,2017-06,2738.43,2745.25,2725.84,2745.25,0,2745.25,0.0018794577424945391,2794.633571428571,2841.660416666667
2017-02-09,2017,2,9,Thursday,06,2017-06,2739.18,2749.98,2724.53,2730.18,0,2730.18,-0.005489506733221017,2784.2614285714285,2837.2012
2017-02-10,2017,2,10,Friday,06,2017-06,2759.62,2795.88,2747.74,2787.66,0,2787.66,0.0210535502816509,2782.006428571429,2835.295769230769
2017-02-13,2017,2,13,Monday,07,2017-07,2806.5,2808.52,2790.67,2803.99,0,2803.99,0.005857987932481823,2783.3857142857146,2834.136296296296
2017-02-14,2017,2,14,Tuesday,07,2017-07,2813.59,2821.83,2787.65,2791.92,0,2791.92,-0.004304604653159294,2783.6392857142855,2832.628571428572
2017-02-15,2017,2,15,Wednesday,07,2017-07,2820.02,2830.38,2819.34,2827.14,0,2827.14,0.012614964500655246,2782.5185714285712,2832.439310344828
2017-02-16,2017,2,16,Thursday,07,2017-07,2842.2,2846.31,2815.52,2834.33,0,2834.33,0.0025432719356233147,2782.2042857142856,2832.502333333333
2017-02-17,2017,2,17,Friday,07,2017-07,2835.34,2840.47,2826.66,2834.68,0,2834.68,0.00012343428816752322,2782.0442857142857,2832.5725806451615
2017-02-20,2017,2,20,Monday,08,2017-08,2838.9,2851.89,2831.67,2850.85,0,2850.85,0.0057044062841571375,2784.8235714285715,2833.14375
2017-02-21,2017,2,21,Tuesday,08,2017-08,2853.34,2881.34,2853.34,2881.34,0,2881.34,0.010695052068658839,2789.7621428571433,2834.6042424242423
2017-02-22,2017,2,22,Wednesday,08,2017-08,2887.85,2887.85,2859.1,2865.72,0,2865.72,-0.0054211293047795595,2797.391428571428,2835.519411764706
2017-02-23,2017,2,23,Thursday,08,2017-08,2865.85,2865.85,2828.44,2843.01,0,2843.01,-0.007924696470579362,2804.537857142857,2835.7334285714287
2017-02-24,2017,2,24,Friday,08,2017-08,2831.5,2865.65,2830.27,2851.18,0,2851.18,0.0028736873408594654,2813.3821428571428,2836.1625000000004
2017-02-27,2017,2,27,Monday,09,2017-09,2828.84,2837.05,2811.8,2821.17,0,2821.17,-0.010525470326369968,2819.172857142857,2835.7572972972976
2017-02-28,2017,2,28,Tuesday,09,2017-09,2829.8,2857.33,2828.39,2828.39,0,2828.39,0.0025592115693358064,2825.1114285714284,2835.563421052632
2017-03-01,2017,3,1,Wednesday,09,2017-09,2825.75,2842.99,2806.2,2837.66,0,2837.66,0.0032774899795728896,2832.7885714285717,2835.6171794871793
2017-03-02,2017,3,2,Thursday,09,2017-09,2878.38,2904.98,2877.6,2885.7,0,2885.7,0.01692945615416952,2839.7914285714282,2836.86925
2017-03-03,2017,3,3,Friday,09,2017-09,2870.06,2877.36,2833.7,2846.65,0,2846.65,-0.013532262358831426,2842.8385714285714,2837.1078048780487
2017-03-06,2017,3,6,Monday,10,2017-10,2839.53,2853.32,2838.41,2847.57,0,2847.57,0.0003232452346413339,2846.8135714285713,2837.356904761905
2017-03-07,2017,3,7,Tuesday,10,2017-10,2840.64,2852.36,2831.01,2840.09,0,2840.09,-0.002626794175098035,2847.7385714285715,2837.420465116279
2017-03-08,2017,3,8,Wednesday,10,2017-10,2826.27,2835.25,2813.16,2816.87,0,2816.87,-0.008175786677376395,2846.4914285714285,2836.953409090909
2017-03-09,2017,3,9,Thursday,10,2017-10,2833.48,2843.92,2822.19,2832.15,0,2832.15,0.005424383986687431,2846.3107142857143,2836.846666666667
2017-03-10,2017,3,10,Friday,10,2017-10,2849.69,2863.14,2845.35,2857.46,0,2857.46,0.008936694548831836,2846.782857142857,2837.2947826086956
2017-03-13,2017,3,13,Monday,11,2017-11,2846.36,2860.62,2845.71,2858.87,0,2858.87,0.0004934999157564235,2845.177857142857,2837.753829787234
2017-03-14,2017,3,14,Tuesday,11,2017-11,2868.45,2868.45,2856.52,2862.69,0,2862.69,0.0013361307307335757,2844.961428571429,2838.273333333333
