Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,768.82,770.89,766.66,768.91,0,768.91,0.0,768.91,768.91
2017-01-06,2017,1,6,Friday,01,2017-01,764.77,767.78,763.47,766.92,0,766.92,-0.002588066618822382,767.915,767.915
2017-01-10,2017,1,10,Tuesday,02,2017-02,764.64,774.04,764.08,766.41,0,766.41,-0.0006650104013324887,767.4133333333333,767.4133333333333
2017-01-11,2017,1,11,Wednesday,02,2017-02,768.91,769.98,766.36,768.3,0,768.3,0.002466062179074857,767.635,767.635
2017-01-12,2017,1,12,Thursday,02,2017-02,767.14,767.14,756.19,760.67,0,760.67,-0.009931023043135201,766.242,766.242
2017-01-13,2017,1,13,Friday,02,2017-02,757.05,762.7,756.27,759.89,0,759.89,-0.0010253701069349308,765.1833333333333,765.1833333333333
2017-01-16,2017,1,16,Monday,03,2017-03,757.26,760.33,752.26,754.51,0,754.51,-0.007079978390427399,763.6585714285713,763.6585714285713
2017-01-17,2017,1,17,Tuesday,03,2017-03,752.0,752.74,738.77,738.77,0,738.77,-0.02086120797690194,760.5475,760.5475
2017-01-18,2017,1,18,Wednesday,03,2017-03,736.83,743.08,730.28,740.92,0,740.92,0.0029101930534083387,758.3666666666666,758.3666666666666
2017-01-19,2017,1,19,Thursday,03,2017-03,747.69,748.21,741.7,743.25,0,743.25,0.003144762111411792,756.8549999999999,756.8549999999999
2017-01-20,2017,1,20,Friday,03,2017-03,739.33,745.45,737.04,743.08,0,743.08,-0.00022870220000836827,755.6027272727272,755.6027272727272
2017-01-23,2017,1,23,Monday,04,2017-04,732.99,733.38,727.3,727.82,0,727.82,-0.02053615951804011,753.2875,753.2875
2017-01-24,2017,1,24,Tuesday,04,2017-04,724.11,730.53,723.46,725.14,0,725.14,-0.0036822190223020357,751.1223076923077,751.1223076923077
2017-01-25,2017,1,25,Wednesday,04,2017-04,734.97,734.97,724.11,728.03,0,728.03,0.003985457415198068,749.472857142857,749.472857142857
2017-01-26,2017,1,26,Thursday,04,2017-04,734.63,737.52,730.66,735.97,0,735.97,0.01090606305610553,747.12,748.5726666666667
2017-01-27,2017,1,27,Friday,04,2017-04,735.84,739.89,733.34,736.01,0,736.01,5.440311981996793e-05,744.9121428571428,747.7875
2017-01-30,2017,1,30,Monday,05,2017-05,734.89,734.89,729.41,733.55,0,733.55,-0.0033423757014386934,742.5649999999999,746.9499999999999
2017-01-31,2017,1,31,Tuesday,05,2017-05,724.37,726.35,720.66,720.83,0,720.83,-0.01734029161583872,739.1742857142857,745.4988888888888
2017-02-01,2017,2,1,Wednesday,05,2017-05,718.72,726.22,714.5,724.45,0,724.45,0.005021981648048346,736.5871428571429,744.391052631579
2017-02-02,2017,2,2,Thursday,05,2017-05,718.94,721.09,708.07,709.11,0,709.11,-0.02117472095657158,732.9599999999999,742.627
2017-02-03,2017,2,3,Friday,05,2017-05,711.99,716.74,706.52,708.11,0,708.11,-0.0014102184719684274,729.6457142857142,740.9833333333333
2017-02-06,2017,2,6,Monday,06,2017-06,708.8,708.8,687.76,690.22,0,690.22,-0.02526445752569839,726.1778571428573,738.675909090909
2017-02-07,2017,2,7,Tuesday,06,2017-06,687.89,688.67,680.09,681.04,0,681.04,-0.013300097165298785,721.9007142857143,736.17
2017-02-08,2017,2,8,Wednesday,06,2017-06,688.5,688.5,680.91,684.53,0,684.53,0.005124590893533565,717.7064285714287,734.0183333333333
2017-02-09,2017,2,9,Thursday,06,2017-06,684.01,685.69,679.66,683.41,0,683.41,-0.0016362410769534819,713.4442857142858,731.9939999999999
2017-02-10,2017,2,10,Friday,06,2017-06,692.2,695.35,687.68,694.45,0,694.45,0.016154342922012344,711.0607142857143,730.55
2017-02-13,2017,2,13,Monday,07,2017-07,703.11,703.11,698.93,702.08,0,702.08,0.010987118941165441,709.4135714285713,729.4955555555556
2017-02-14,2017,2,14,Tuesday,07,2017-07,700.74,700.74,686.9,686.9,0,686.9,-0.021621456680540607,706.4757142857144,727.9742857142857
2017-02-15,2017,2,15,Wednesday,07,2017-07,692.29,692.98,689.88,691.52,0,691.52,0.006725862502521274,703.3007142857142,726.7172413793103
2017-02-16,2017,2,16,Thursday,07,2017-07,692.55,692.55,686.3,691.04,0,691.04,-0.0006941830899294121,700.0885714285714,725.528
2017-02-17,2017,2,17,Friday,07,2017-07,689.1,691.17,685.0,689.7,0,689.7,-0.0019390568750271564,696.9564285714285,724.3722580645161
2017-02-20,2017,2,20,Monday,08,2017-08,687.85,691.77,684.88,690.83,0,690.83,0.0016384005550420522,694.8135714285714,723.3240625
2017-02-21,2017,2,21,Tuesday,08,2017-08,693.2,697.42,692.08,696.99,0,696.99,0.008916771119009015,692.8521428571429,722.5260606060606
2017-02-22,2017,2,22,Wednesday,08,2017-08,702.55,702.55,696.65,698.41,0,698.41,0.0020373074650308354,692.0878571428573,721.8167647058824
2017-02-23,2017,2,23,Thursday,08,2017-08,701.65,702.72,698.07,701.35,0,701.35,0.004209565376291913,691.6050000000001,721.232
2017-02-24,2017,2,24,Friday,08,2017-08,698.15,704.71,697.94,701.52,0,701.52,0.00024245234366837565,692.4121428571427,720.6844444444445
2017-02-27,2017,2,27,Monday,09,2017-09,697.38,698.97,692.42,695.57,0,695.57,-0.008481600013363844,693.4499999999999,720.0056756756757
2017-02-28,2017,2,28,Tuesday,09,2017-09,700.05,704.41,700.05,700.48,0,700.48,0.0070589201558868275,694.5892857142857,719.4918421052631
2017-03-01,2017,3,1,Wednesday,09,2017-09,701.73,708.16,700.01,706.99,0,706.99,0.00929364142750888,696.2735714285715,719.1712820512821
2017-03-02,2017,3,2,Thursday,09,2017-09,710.7,711.26,704.58,705.48,0,705.48,-0.00213582905908527,697.0614285714286,718.829
2017-03-03,2017,3,3,Friday,09,2017-09,706.26,709.75,701.91,704.49,0,704.49,-0.0014032860772564826,697.2335714285715,718.479268292683
2017-03-06,2017,3,6,Monday,10,2017-10,704.06,705.57,702.72,702.85,0,702.85,-0.0023279459909598677,698.3728571428571,718.1071428571429
2017-03-07,2017,3,7,Tuesday,10,2017-10,705.53,709.45,704.28,705.18,0,705.18,0.0033150987704044788,699.3485714285715,717.806511627907
2017-03-08,2017,3,8,Wednesday,10,2017-10,706.3,708.03,702.55,702.98,0,702.98,-0.003119788181572436,700.2014285714286,717.4695454545455
2017-03-09,2017,3,9,Thursday,10,2017-10,705.35,706.78,701.0,706.04,0,706.04,0.004352894312229738,701.3685714285715,717.2155555555556
2017-03-10,2017,3,10,Friday,10,2017-10,716.13,720.53,714.88,719.5,0,719.5,0.019064107404035635,703.4164285714287,717.2652173913043
2017-03-13,2017,3,13,Monday,11,2017-11,721.26,726.18,721.18,724.89,0,724.89,0.007491333771282083,705.4092857142857,717.4274468085106
2017-03-14,2017,3,14,Tuesday,11,2017-11,725.02,725.27,721.95,722.3,0,722.3,-0.0035729928722012527,707.1157142857143,717.5289583333333
2017-03-15,2017,3,15,Wednesday,11,2017-11,719.54,725.66,719.41,724.24,0,724.24,0.002685868024633331,708.7507142857143,717.6659183673469
2017-03-16,2017,3,16,Thursday,11,2017-11,720.32,729.15,720.01,728.08,0,728.08,0.005302146950247888,710.6478571428571,717.8742
2017-03-17,2017,3,17,Friday,11,2017-11,722.86,727.9,721.74,721.95,0,721.95,-0.008419410969846886,712.532142857143,716.935
2017-03-21,2017,3,21,Tuesday,12,2017-12,721.61,724.89,719.93,723.94,0,723.94,0.002756410001700127,714.2078571428572,716.0754
2017-03-22,2017,3,22,Wednesday,12,2017-12,718.46,722.6,713.2,713.2,0,713.2,-0.014835470064032408,714.6514285714285,715.0112000000001
2017-03-23,2017,3,23,Thursday,12,2017-12,711.78,713.37,706.78,711.69,0,711.69,-0.0021172318280705538,715.095,713.8789999999999
2017-03-24,2017,3,24,Friday,12,2017-12,711.48,715.79,709.67,715.18,0,715.18,0.004903806745075512,715.8585714285715,712.9692
2017-03-27,2017,3,27,Monday,13,2017-13,707.68,709.54,702.38,704.19,0,704.19,-0.015366747318051988,715.9542857142858,711.8552000000001
2017-03-28,2017,3,28,Tuesday,13,2017-13,710.49,712.64,707.38,712.64,0,712.64,0.011999619673291662,716.4871428571429,711.0178
2017-03-29,2017,3,29,Wednesday,13,2017-13,708.93,710.36,703.2,706.39,0,706.39,-0.00877020637563175,716.7307142857143,710.3702000000001
2017-03-30,2017,3,30,Thursday,13,2017-13,704.75,707.34,697.9,698.63,0,698.63,-0.010985446573005486,716.2014285714286,709.5243999999999
2017-03-31,2017,3,31,Friday,13,2017-13,704.97,708.5,694.49,694.49,0,694.49,-0.005925904440837626,714.415,708.5491999999999
2017-04-03,2017,4,3,Monday,14,2017-14,697.94,700.48,695.09,698.07,0,698.07,0.005154886521309798,712.4992857142857,707.6490000000001
2017-04-04,2017,4,4,Tuesday,14,2017-14,694.92,698.59,687.12,692.29,0,692.29,-0.008280013804103259,710.3557142857144,706.9384000000001
2017-04-05,2017,4,5,Wednesday,14,2017-14,695.83,698.46,687.85,690.22,0,690.22,-0.0029900870876640173,707.9257142857143,706.24
2017-04-06,2017,4,6,Thursday,14,2017-14,688.5,689.4,679.74,681.34,0,681.34,-0.012865382377461931,704.5871428571429,705.3062
