Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,819.46,836.43,819.46,836.43,0,836.43,0.0,836.43,836.43
2017-01-06,2017,1,6,Friday,01,2017-01,827.05,833.28,825.78,832.28,0,832.28,-0.004961519093343747,834.355,834.355
2017-01-10,2017,1,10,Tuesday,02,2017-02,826.3,829.01,821.71,822.92,0,822.92,-0.01124627055466687,830.5433333333334,830.5433333333334
2017-01-11,2017,1,11,Wednesday,02,2017-02,820.93,835.65,816.04,829.61,0,829.61,0.008129590458780589,830.31,830.31
2017-01-12,2017,1,12,Thursday,02,2017-02,843.06,850.82,842.35,849.06,0,849.06,0.023444766276274898,834.0600000000001,834.0600000000001
2017-01-13,2017,1,13,Friday,02,2017-02,843.86,861.91,843.86,861.1,0,861.1,0.014180361884865267,838.5666666666666,838.5666666666666
2017-01-16,2017,1,16,Monday,03,2017-03,861.31,862.56,845.49,847.46,0,847.46,-0.015840150969694267,839.8371428571428,839.8371428571428
2017-01-17,2017,1,17,Tuesday,03,2017-03,849.46,849.46,835.26,835.76,0,835.76,-0.01380597538960815,839.3275,839.3275
2017-01-18,2017,1,18,Wednesday,03,2017-03,841.0,856.02,836.1,855.41,0,855.41,0.02351149031935229,841.1144444444444,841.1144444444444
2017-01-19,2017,1,19,Thursday,03,2017-03,851.53,852.92,842.81,850.29,0,850.29,-0.00598542836526228,842.0319999999999,842.0319999999999
2017-01-20,2017,1,20,Friday,03,2017-03,856.35,870.39,855.16,865.5,0,865.5,0.01788804098096408,844.1654545454545,844.1654545454545
2017-01-23,2017,1,23,Monday,04,2017-04,851.95,860.95,846.01,856.31,0,856.31,-0.010618142624386206,845.1774999999999,845.1774999999999
2017-01-24,2017,1,24,Tuesday,04,2017-04,859.48,859.61,849.16,852.58,0,852.58,-0.004355876352471033,845.746923076923,845.746923076923
2017-01-25,2017,1,25,Wednesday,04,2017-04,868.35,868.35,858.98,860.88,0,860.88,0.009735142305234312,846.8278571428572,846.8278571428572
2017-01-26,2017,1,26,Thursday,04,2017-04,870.8,870.8,860.24,867.37,0,867.37,0.007538786122995633,849.0378571428571,848.1973333333333
2017-01-27,2017,1,27,Friday,04,2017-04,873.95,891.82,873.95,882.44,0,882.44,0.017374370117775095,852.6207142857144,850.3375
2017-01-30,2017,1,30,Monday,05,2017-05,883.51,890.37,880.03,887.86,0,887.86,0.0061420412664441315,857.2592857142857,852.5447058823529
2017-01-31,2017,1,31,Tuesday,05,2017-05,876.17,879.61,870.32,871.96,0,871.96,-0.017908187823793442,860.2842857142857,853.6233333333333
