Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,6735.27,6812.8,6733.19,6801.39,0,6801.39,0.0,6801.39,6801.39
2017-01-06,2017,1,6,Friday,01,2017-01,6803.0,6849.02,6788.34,6842.65,0,6842.65,0.006066372432048883,6822.02,6822.02
2017-01-10,2017,1,10,Tuesday,02,2017-02,6913.6,6993.78,6868.8,6875.88,0,6875.88,0.004856302886016239,6839.973333333332,6839.973333333332
2017-01-11,2017,1,11,Wednesday,02,2017-02,6889.54,6899.16,6836.36,6889.68,0,6889.68,0.0020070584716358475,6852.4,6852.4
2017-01-12,2017,1,12,Thursday,02,2017-02,6789.52,6806.32,6670.97,6688.46,0,6688.46,-0.029206031297517088,6819.611999999999,6819.611999999999
2017-01-13,2017,1,13,Friday,02,2017-02,6690.14,6747.68,6689.46,6747.1,0,6747.1,0.008767360059150464,6807.526666666668,6807.526666666668
2017-01-16,2017,1,16,Monday,03,2017-03,6724.22,6745.67,6684.49,6703.98,0,6703.98,-0.006390911141584965,6792.734285714286,6792.734285714286
2017-01-17,2017,1,17,Tuesday,03,2017-03,6720.57,6720.57,6612.0,6612.0,0,6612.0,-0.0137202051224381,6770.1425,6770.1425
2017-01-18,2017,1,18,Wednesday,03,2017-03,6588.44,6588.9,6520.99,6541.7,0,6541.7,-0.010632154368950375,6744.759999999999,6744.759999999999
2017-01-19,2017,1,19,Thursday,03,2017-03,6572.13,6589.22,6532.36,6555.14,0,6555.14,0.0020545028058425174,6725.798,6725.798
2017-01-20,2017,1,20,Friday,03,2017-03,6519.31,6551.71,6489.56,6528.93,0,6528.93,-0.003998383007967177,6707.900909090909,6707.900909090909
2017-01-23,2017,1,23,Monday,04,2017-04,6474.54,6492.2,6441.64,6447.93,0,6447.93,-0.012406320456675335,6686.236666666667,6686.236666666667
2017-01-24,2017,1,24,Tuesday,04,2017-04,6465.74,6480.98,6410.96,6422.83,0,6422.83,-0.0038927371996873017,6665.974615384615,6665.974615384615
