Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,1878.64,1888.63,1875.36,1880.97,0,1880.97,0.0,1880.97,1880.97
2017-01-06,2017,1,6,Friday,01,2017-01,1873.18,1908.52,1873.18,1905.44,0,1905.44,0.01300922985707098,1893.205,1893.205
2017-01-10,2017,1,10,Tuesday,02,2017-02,1908.09,1909.27,1882.24,1885.1,0,1885.1,-0.01067468219717349,1890.5033333333333,1890.5033333333333
2017-01-11,2017,1,11,Wednesday,02,2017-02,1891.45,1897.15,1886.04,1887.61,0,1887.61,0.001331499548104853,1889.78,1889.78
2017-01-12,2017,1,12,Thursday,02,2017-02,1883.7,1883.7,1852.59,1861.73,0,1861.73,-0.01371046195117076,1884.17,1884.17
2017-01-13,2017,1,13,Friday,02,2017-02,1864.9,1882.18,1859.91,1880.66,0,1880.66,0.010167991013482647,1883.585,1883.585
2017-01-16,2017,1,16,Monday,03,2017-03,1869.1,1874.98,1855.59,1860.45,0,1860.45,-0.010746271330547952,1880.28,1880.28
2017-01-17,2017,1,17,Tuesday,03,2017-03,1857.15,1861.86,1836.43,1836.43,0,1836.43,-0.012910800124350419,1874.79875,1874.79875
2017-01-18,2017,1,18,Wednesday,03,2017-03,1840.69,1842.63,1821.4,1838.2,0,1838.2,0.0009637706905094579,1870.7322222222222,1870.7322222222222
2017-01-19,2017,1,19,Thursday,03,2017-03,1851.92,1861.62,1843.13,1852.94,0,1852.94,0.008018708859707013,1868.953,1868.953
2017-01-20,2017,1,20,Friday,03,2017-03,1844.48,1854.89,1838.14,1849.05,0,1849.05,-0.0020993085049334503,1867.1436363636365,1867.1436363636365
2017-01-23,2017,1,23,Monday,04,2017-04,1830.72,1830.72,1813.85,1815.91,0,1815.91,-0.01792272451978283,1862.8741666666667,1862.8741666666667
2017-01-24,2017,1,24,Tuesday,04,2017-04,1807.41,1808.76,1796.9,1801.02,0,1801.02,-0.008199753494486206,1858.116153846154,1858.116153846154
2017-01-25,2017,1,25,Wednesday,04,2017-04,1831.03,1831.03,1798.56,1802.83,0,1802.83,0.0010049508077698555,1854.1671428571428,1854.1671428571428
2017-01-26,2017,1,26,Thursday,04,2017-04,1817.18,1828.96,1813.46,1826.39,0,1826.39,0.013068375369859497,1850.2685714285712,1852.3153333333332
2017-01-27,2017,1,27,Friday,04,2017-04,1835.12,1843.71,1825.33,1827.09,0,1827.09,0.0003832429909609303,1844.672142857143,1850.73875
2017-01-30,2017,1,30,Monday,05,2017-05,1823.62,1825.84,1811.45,1825.62,0,1825.62,-0.0008045420480786714,1840.4235714285714,1849.2611764705882
2017-01-31,2017,1,31,Tuesday,05,2017-05,1806.85,1808.73,1790.63,1794.58,0,1794.58,-0.01700246444797926,1833.7785714285715,1846.2233333333331
2017-02-01,2017,2,1,Wednesday,05,2017-05,1787.34,1801.06,1782.3,1799.88,0,1799.88,0.0029533645521022667,1829.3607142857145,1843.784210526316
2017-02-02,2017,2,2,Thursday,05,2017-05,1804.99,1805.58,1764.27,1767.39,0,1767.39,-0.018051197938881658,1821.2700000000002,1839.9645
2017-02-03,2017,2,3,Friday,05,2017-05,1760.26,1771.63,1755.35,1756.75,0,1756.75,-0.006020184882935431,1813.8628571428574,1836.0019047619048
2017-02-06,2017,2,6,Monday,06,2017-06,1767.96,1768.83,1740.38,1746.36,0,1746.36,-0.0059143387781058765,1807.429285714286,1831.9272727272728
2017-02-07,2017,2,7,Tuesday,06,2017-06,1739.99,1751.72,1739.99,1745.24,0,1745.24,-0.0006413311840525182,1800.7892857142856,1828.158260869565
2017-02-08,2017,2,8,Wednesday,06,2017-06,1748.76,1754.69,1743.47,1748.97,0,1748.97,0.0021372306901179527,1793.3628571428574,1824.85875
2017-02-09,2017,2,9,Thursday,06,2017-06,1744.3,1748.89,1732.8,1734.92,0,1734.92,-0.008033257856430831,1785.2107142857142,1821.2612
2017-02-10,2017,2,10,Friday,06,2017-06,1765.28,1788.83,1763.41,1786.61,0,1786.61,0.02979384645802119,1783.117857142857,1819.9284615384615
2017-02-13,2017,2,13,Monday,07,2017-07,1800.27,1803.38,1789.64,1794.83,0,1794.83,0.004600875832174056,1782.6757142857143,1818.998888888889
2017-02-14,2017,2,14,Tuesday,07,2017-07,1796.61,1796.61,1770.46,1770.5,0,1770.5,-0.013555577213658965,1780.3664285714287,1817.2667857142858
2017-02-15,2017,2,15,Wednesday,07,2017-07,1785.87,1789.8,1776.69,1781.13,0,1781.13,0.006003956443271674,1777.1335714285713,1816.0206896551724
2017-02-16,2017,2,16,Thursday,07,2017-07,1778.36,1781.67,1763.18,1767.23,0,1767.23,-0.007804048203082781,1772.8578571428573,1814.3943333333334
2017-02-17,2017,2,17,Friday,07,2017-07,1762.0,1763.3,1751.1,1758.5,0,1758.5,-0.004939923250076639,1768.0635714285715,1812.5912903225808
2017-02-20,2017,2,20,Monday,08,2017-08,1759.94,1765.23,1750.73,1763.09,0,1763.09,0.0026101596930978577,1765.814285714286,1811.044375
2017-02-21,2017,2,21,Tuesday,08,2017-08,1763.29,1774.85,1758.65,1774.59,0,1774.59,0.006522639356437709,1764.007857142857,1809.939696969697
2017-02-22,2017,2,22,Wednesday,08,2017-08,1774.35,1774.35,1761.75,1764.68,0,1764.68,-0.005584339086913581,1763.8142857142855,1808.6085294117647
2017-02-23,2017,2,23,Thursday,08,2017-08,1765.12,1766.13,1754.3,1764.9,0,1764.9,0.00012465188953791895,1764.3964285714285,1807.3597142857143
2017-02-24,2017,2,24,Friday,08,2017-08,1758.86,1771.98,1758.86,1760.22,0,1760.22,-0.002651738708254192,1765.3864285714285,1806.0502777777776
2017-02-27,2017,2,27,Monday,09,2017-09,1750.95,1759.32,1742.15,1755.04,0,1755.04,-0.00294277517971564,1766.0864285714285,1804.6716216216219
2017-02-28,2017,2,28,Tuesday,09,2017-09,1766.63,1781.64,1758.94,1758.94,0,1758.94,0.0022221158816599917,1766.7985714285714,1803.4681578947366
2017-03-01,2017,3,1,Wednesday,09,2017-09,1767.07,1777.08,1762.0,1772.55,0,1772.55,0.007737676029457852,1769.4864285714286,1802.6753846153845
2017-03-02,2017,3,2,Thursday,09,2017-09,1790.78,1792.54,1777.74,1786.39,0,1786.39,0.00780794078534619,1769.4707142857144,1802.2682499999999
2017-03-03,2017,3,3,Friday,09,2017-09,1784.43,1785.56,1761.96,1768.36,0,1768.36,-0.010092997133340664,1767.58,1801.441219512195
2017-03-06,2017,3,6,Monday,10,2017-10,1766.51,1768.43,1752.51,1754.85,0,1754.85,-0.007639852675663805,1766.4621428571427,1800.3319047619048
2017-03-07,2017,3,7,Tuesday,10,2017-10,1753.71,1764.18,1753.71,1763.83,0,1763.83,0.005117235429627831,1765.2264285714286,1799.483023255814
2017-03-08,2017,3,8,Wednesday,10,2017-10,1759.32,1760.15,1748.23,1754.49,0,1754.49,-0.0052952756518570565,1764.3164285714283,1798.4604545454545
2017-03-09,2017,3,9,Thursday,10,2017-10,1758.85,1758.85,1749.55,1755.46,0,1755.46,0.0005528505198229006,1764.0992857142858,1797.504888888889
2017-03-10,2017,3,10,Friday,10,2017-10,1761.24,1775.93,1761.15,1773.54,0,1773.54,0.01029933950492623,1764.8457142857144,1796.9839130434782
2017-03-13,2017,3,13,Monday,11,2017-11,1772.24,1793.66,1771.01,1793.66,0,1793.66,0.011344539550301347,1766.2078571428574,1796.9131914893617
2017-03-14,2017,3,14,Tuesday,11,2017-11,1789.89,1790.08,1781.0,1781.0,0,1781.0,-0.007058212781931861,1767.3735714285717,1796.5816666666667
2017-03-15,2017,3,15,Wednesday,11,2017-11,1777.18,1781.48,1769.96,1780.12,0,1780.12,-0.000494107177323122,1768.4607142857144,1796.2457142857143
2017-03-16,2017,3,16,Thursday,11,2017-11,1770.42,1780.61,1769.61,1778.93,0,1778.93,-0.000668461345029514,1769.797142857143,1795.8994
