Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,1586.83,1586.83,1571.93,1580.41,0,1580.41,0.0,1580.41,1580.41
2017-01-06,2017,1,6,Friday,01,2017-01,1566.27,1587.59,1565.81,1586.92,0,1586.92,0.004119190352397384,1583.665,1583.665
2017-01-10,2017,1,10,Tuesday,02,2017-02,1584.97,1594.88,1570.26,1570.26,0,1570.26,-0.010498345044699486,1579.1966666666667,1579.1966666666667
2017-01-11,2017,1,11,Wednesday,02,2017-02,1562.36,1565.06,1551.07,1555.15,0,1555.15,-0.009622600879849008,1573.185,1573.185
2017-01-12,2017,1,12,Thursday,02,2017-02,1557.15,1557.15,1529.3,1539.47,0,1539.47,-0.010082663064513886,1566.442,1566.442
2017-01-13,2017,1,13,Friday,02,2017-02,1534.14,1551.75,1533.35,1548.59,0,1548.59,0.005924113682465704,1563.4666666666665,1563.4666666666665
2017-01-16,2017,1,16,Monday,03,2017-03,1546.22,1547.9,1524.13,1527.85,0,1527.85,-0.013392822304249319,1558.3785714285714,1558.3785714285714
2017-01-17,2017,1,17,Tuesday,03,2017-03,1520.18,1520.18,1494.86,1496.11,0,1496.11,-0.020774284610111993,1550.595,1550.595
2017-01-18,2017,1,18,Wednesday,03,2017-03,1500.58,1518.34,1493.42,1514.6,0,1514.6,0.01235871053292259,1546.5955555555556,1546.5955555555556
2017-01-19,2017,1,19,Thursday,03,2017-03,1531.77,1531.77,1514.82,1517.45,0,1517.45,0.00188166884449803,1543.681,1543.681
2017-01-20,2017,1,20,Friday,03,2017-03,1515.58,1527.37,1511.92,1524.98,0,1524.98,0.004962291699347254,1541.980909090909,1541.980909090909
2017-01-23,2017,1,23,Monday,04,2017-04,1508.91,1508.91,1492.9,1495.29,0,1495.29,-0.019469069618293533,1538.0900000000001,1538.0900000000001
2017-01-24,2017,1,24,Tuesday,04,2017-04,1494.24,1497.74,1481.62,1484.4,0,1484.4,-0.007282877812297306,1533.96,1533.96
2017-01-25,2017,1,25,Wednesday,04,2017-04,1511.42,1511.42,1486.04,1491.17,0,1491.17,0.004560778375035657,1530.9035714285715,1530.9035714285715
2017-01-26,2017,1,26,Thursday,04,2017-04,1504.58,1518.07,1501.71,1515.52,0,1515.52,0.01632944256411739,1526.2685714285715,1529.878
2017-01-27,2017,1,27,Friday,04,2017-04,1518.22,1526.7,1517.33,1521.39,0,1521.39,0.0038732547518594007,1521.587857142857,1529.3475
2017-01-30,2017,1,30,Monday,05,2017-05,1516.81,1518.63,1508.28,1512.45,0,1512.45,-0.005876246978410937,1517.4585714285713,1528.3535294117648
2017-01-31,2017,1,31,Tuesday,05,2017-05,1499.98,1512.16,1495.55,1501.33,0,1501.33,-0.007352306176195422,1513.6142857142856,1526.8522222222223
2017-02-01,2017,2,1,Wednesday,05,2017-05,1493.86,1503.52,1482.67,1500.3,0,1500.3,-0.0006859965874983498,1510.8164285714286,1525.4547368421051
2017-02-02,2017,2,2,Thursday,05,2017-05,1497.79,1499.32,1472.35,1473.92,0,1473.92,-0.017583152718962936,1505.4828571428573,1522.8780000000002
2017-02-03,2017,2,3,Friday,05,2017-05,1482.47,1491.89,1470.39,1481.16,0,1481.16,0.004912064439394737,1502.1478571428572,1520.8914285714286
2017-02-06,2017,2,6,Monday,06,2017-06,1494.07,1494.88,1479.27,1483.01,0,1483.01,0.0012490045256736693,1501.212142857143,1519.1695454545456
2017-02-07,2017,2,7,Tuesday,06,2017-06,1476.5,1487.87,1472.11,1481.03,0,1481.03,-0.0013351093085763877,1498.814285714286,1517.5113043478261
2017-02-08,2017,2,8,Wednesday,06,2017-06,1489.96,1498.86,1488.03,1497.57,0,1497.57,0.011167847150297172,1497.3942857142858,1516.6804166666668
2017-02-09,2017,2,9,Thursday,06,2017-06,1497.15,1514.56,1497.15,1506.05,0,1506.05,0.005662575267403103,1496.0421428571428,1516.2551999999998
2017-02-10,2017,2,10,Friday,06,2017-06,1522.09,1535.95,1516.96,1532.8,0,1532.8,0.0177616939229972,1498.7214285714288,1516.8915384615384
2017-02-13,2017,2,13,Monday,07,2017-07,1536.98,1536.98,1514.6,1520.57,0,1520.57,-0.007978928855340794,1501.305,1517.0277777777778
2017-02-14,2017,2,14,Tuesday,07,2017-07,1522.52,1522.92,1498.29,1498.29,0,1498.29,-0.014652339592095998,1501.8135714285713,1516.3585714285714
2017-02-15,2017,2,15,Wednesday,07,2017-07,1512.07,1514.65,1509.42,1512.39,0,1512.39,0.009410711690214457,1501.5900000000001,1516.221724137931
2017-02-16,2017,2,16,Thursday,07,2017-07,1513.74,1519.35,1508.57,1512.18,0,1512.18,-0.0001388272439426519,1500.9321428571427,1516.087
2017-02-17,2017,2,17,Friday,07,2017-07,1499.19,1499.75,1485.26,1488.24,0,1488.24,-0.015831490051606556,1499.2028571428568,1515.1887096774194
2017-02-20,2017,2,20,Monday,08,2017-08,1477.7,1499.46,1475.26,1497.32,0,1497.32,0.006101136990182221,1498.9164285714287,1514.6303125
2017-02-21,2017,2,21,Tuesday,08,2017-08,1493.6,1504.61,1493.6,1504.61,0,1504.61,0.004868725004677499,1499.2242857142858,1514.3266666666666
2017-02-22,2017,2,22,Wednesday,08,2017-08,1509.26,1509.26,1491.35,1497.18,0,1497.18,-0.004938111346435736,1500.8857142857141,1513.8223529411764
2017-02-23,2017,2,23,Thursday,08,2017-08,1495.2,1496.92,1486.5,1496.47,0,1496.47,-0.0004742803018598085,1501.9792857142857,1513.3265714285715
2017-02-24,2017,2,24,Friday,08,2017-08,1491.72,1507.08,1489.88,1502.0,0,1502.0,0.003695382737467723,1503.3357142857144,1513.0119444444445
2017-02-27,2017,2,27,Monday,09,2017-09,1487.1,1491.18,1476.65,1483.03,0,1483.03,-0.012629807392227077,1503.4785714285713,1512.2016216216216
2017-02-28,2017,2,28,Tuesday,09,2017-09,1486.34,1499.6,1481.28,1481.56,0,1481.56,-0.0009911941593131468,1502.3349999999998,1511.3952631578948
2017-03-01,2017,3,1,Wednesday,09,2017-09,1483.51,1489.6,1469.9,1481.13,0,1481.13,-0.00029027085904687056,1500.555,1510.6192307692309
2017-03-02,2017,3,2,Thursday,09,2017-09,1496.1,1500.61,1485.29,1487.46,0,1487.46,0.004273734266282858,1497.3164285714286,1510.04025
