Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,4253.16,4256.5,4223.46,4239.18,0,4239.18,0.0,4239.18,4239.18
2017-01-06,2017,1,6,Friday,01,2017-01,4204.65,4209.94,4183.74,4203.1,0,4203.1,-0.00851109804936534,4221.14,4221.14
2017-01-10,2017,1,10,Tuesday,02,2017-02,4174.39,4181.53,4139.0,4154.7,0,4154.7,-0.011515286626349708,4198.993333333333,4198.993333333333
2017-01-11,2017,1,11,Wednesday,02,2017-02,4158.29,4171.01,4134.84,4135.78,0,4135.78,-0.004553977246684826,4183.1900000000005,4183.1900000000005
2017-01-12,2017,1,12,Thursday,02,2017-02,4098.14,4098.14,4044.53,4049.59,0,4049.59,-0.020840011253734803,4156.469999999999,4156.469999999999
2017-01-13,2017,1,13,Friday,02,2017-02,4074.08,4108.07,4073.26,4093.72,0,4093.72,0.010897370315198218,4146.011666666666,4146.011666666666
2017-01-16,2017,1,16,Monday,03,2017-03,4085.68,4096.38,4045.52,4051.04,0,4051.04,-0.010425708633239661,4132.444285714286,4132.444285714286
2017-01-17,2017,1,17,Tuesday,03,2017-03,4041.93,4041.93,3993.08,3993.29,0,3993.29,-0.014255598424883664,4115.05,4115.05
2017-01-18,2017,1,18,Wednesday,03,2017-03,4002.45,4022.85,3977.49,4015.33,0,4015.33,0.005519268284272849,4103.97,4103.97
2017-01-19,2017,1,19,Thursday,03,2017-03,4033.94,4035.68,3997.36,3999.65,0,3999.65,-0.0039050776589136804,4093.5379999999996,4093.5379999999996
2017-01-20,2017,1,20,Friday,03,2017-03,3981.03,4000.96,3977.8,3996.36,0,3996.36,-0.0008225207211128849,4084.703636363636,4084.703636363636
2017-01-23,2017,1,23,Monday,04,2017-04,3968.28,3968.28,3936.4,3937.72,0,3937.72,-0.014673386567403135,4072.455,4072.455
2017-01-24,2017,1,24,Tuesday,04,2017-04,3933.45,3937.16,3909.16,3913.73,0,3913.73,-0.006092355579589759,4060.245384615385,4060.245384615385
2017-01-25,2017,1,25,Wednesday,04,2017-04,3973.27,3973.27,3920.11,3936.74,0,3936.74,0.005879304367050198,4051.4235714285714,4051.4235714285714
2017-01-26,2017,1,26,Thursday,04,2017-04,3951.71,3990.71,3941.03,3988.32,0,3988.32,0.013102231352070781,4033.505,4047.2166666666667
2017-01-27,2017,1,27,Friday,04,2017-04,4003.02,4012.66,3993.04,4009.09,0,4009.09,0.005207711310841079,4019.6471428571426,4044.83375
2017-01-30,2017,1,30,Monday,05,2017-05,3995.17,4002.32,3980.65,3999.29,0,3999.29,-0.0024444571245045843,4008.5464285714284,4042.154705882353
2017-01-31,2017,1,31,Tuesday,05,2017-05,3960.65,3977.51,3953.02,3960.78,0,3960.78,-0.009629211532418025,3996.046428571429,4037.633888888889
2017-02-01,2017,2,1,Wednesday,05,2017-05,3953.24,4003.09,3946.26,3999.95,0,3999.95,0.009889446418450465,3992.5007142857144,4035.6505263157896
2017-02-02,2017,2,2,Thursday,05,2017-05,3992.88,3994.63,3934.67,3943.04,0,3943.04,-0.014227656046721826,3981.737857142857,4031.0199999999995
2017-02-03,2017,2,3,Friday,05,2017-05,3942.05,3952.83,3911.12,3931.88,0,3931.88,-0.0028303431209015795,3973.2264285714286,4026.2990476190475
2017-02-06,2017,2,6,Monday,06,2017-06,3958.9,3961.17,3918.67,3940.0,0,3940.0,0.0020651997084131235,3969.4199999999996,4022.3763636363637
2017-02-07,2017,2,7,Tuesday,06,2017-06,3904.96,3904.96,3861.96,3866.44,0,3866.44,-0.0186700656329315,3958.785,4015.5965217391304
2017-02-08,2017,2,8,Wednesday,06,2017-06,3872.02,3912.82,3868.78,3911.4,0,3911.4,0.011628257937235098,3952.4814285714288,4011.2549999999997
2017-02-09,2017,2,9,Thursday,06,2017-06,3902.74,3909.61,3886.21,3900.37,0,3900.37,-0.0028199073047071588,3945.625,4006.8196000000003
2017-02-10,2017,2,10,Friday,06,2017-06,3938.86,3967.18,3928.62,3964.54,0,3964.54,0.016452264771547265,3947.5407142857143,4005.1934615384616
2017-02-13,2017,2,13,Monday,07,2017-07,3985.47,4000.29,3972.78,3997.45,0,3997.45,0.008301066904385923,3953.5207142857143,4004.9066666666663
2017-02-14,2017,2,14,Tuesday,07,2017-07,4006.33,4006.45,3969.26,3972.77,0,3972.77,-0.006173918858793925,3956.094285714286,4003.7589285714284
2017-02-15,2017,2,15,Wednesday,07,2017-07,4002.97,4002.97,3977.26,3978.93,0,3978.93,0.0015505332750427314,3955.4235714285714,4002.9027586206894
2017-02-16,2017,2,16,Thursday,07,2017-07,3977.36,3977.6,3930.54,3940.26,0,3940.26,-0.009718673748812523,3950.5071428571428,4000.8146666666667
2017-02-17,2017,2,17,Friday,07,2017-07,3912.91,3928.89,3900.61,3924.49,0,3924.49,-0.004002278908540324,3945.164285714286,3998.352580645161
2017-02-20,2017,2,20,Monday,08,2017-08,3925.93,3938.61,3915.36,3934.42,0,3934.42,0.0025302476666611007,3943.281428571428,3996.3546875
2017-02-21,2017,2,21,Tuesday,08,2017-08,3943.21,3980.52,3943.21,3969.34,0,3969.34,0.008875556424842168,3941.0950000000003,3995.536060606061
2017-02-22,2017,2,22,Wednesday,08,2017-08,3978.0,3978.0,3946.94,3963.05,0,3963.05,-0.0015846561199653886,3942.5242857142853,3994.580588235294
2017-02-23,2017,2,23,Thursday,08,2017-08,3959.36,3978.94,3950.47,3978.33,0,3978.33,0.0038556236001594524,3945.842142857143,3994.116285714286
2017-02-24,2017,2,24,Friday,08,2017-08,3949.45,3970.82,3943.7,3951.35,0,3951.35,-0.006781735034279923,3946.652857142857,3992.9283333333337
2017-02-27,2017,2,27,Monday,09,2017-09,3939.01,3978.07,3937.63,3968.74,0,3968.74,0.00440100020204226,3953.96,3992.274594594595
2017-02-28,2017,2,28,Tuesday,09,2017-09,3978.38,4005.41,3978.38,3980.83,0,3980.83,0.0030463290415532196,3958.9192857142853,3991.9734210526312
2017-03-01,2017,3,1,Wednesday,09,2017-09,3998.42,4025.18,3987.14,4023.02,0,4023.02,0.010598277388951471,3967.6800000000003,3992.7694871794874
2017-03-02,2017,3,2,Thursday,09,2017-09,4052.1,4052.1,4024.84,4029.11,0,4029.11,0.0015138099887792578,3972.292142857143,3993.678
2017-03-03,2017,3,3,Friday,09,2017-09,4025.83,4038.08,3983.26,4001.18,0,4001.18,-0.006932095434622365,3972.558571428571,3993.8609756097558
2017-03-06,2017,3,6,Monday,10,2017-10,3994.74,3994.74,3963.88,3976.63,0,3976.63,-0.006135702279716937,3972.8342857142857,3993.450714285714
2017-03-07,2017,3,7,Tuesday,10,2017-10,3968.81,3980.33,3961.07,3975.01,0,3975.01,-0.00040734820554366724,3972.554285714286,3993.0218604651163
2017-03-08,2017,3,8,Wednesday,10,2017-10,3973.63,3979.29,3947.77,3950.99,0,3950.99,-0.006042756992369558,3973.320714285714,3992.066590909091
2017-03-09,2017,3,9,Thursday,10,2017-10,3970.28,3983.42,3964.92,3975.95,0,3975.95,0.006317394121269082,3976.996428571428,3991.7084444444445
2017-03-10,2017,3,10,Friday,10,2017-10,4003.94,4031.06,4001.14,4028.17,0,4028.17,0.013133960775269182,3983.6928571428575,3992.5010869565217
2017-03-13,2017,3,13,Monday,11,2017-11,4011.65,4044.93,4011.65,4018.18,0,4018.18,-0.002480031981800024,3987.181428571428,3993.047446808511
2017-03-14,2017,3,14,Tuesday,11,2017-11,4015.06,4022.13,4007.13,4018.35,0,4018.35,4.2349028296362334e-05,3991.131428571429,3993.574583333333
2017-03-15,2017,3,15,Wednesday,11,2017-11,4032.27,4039.69,4024.01,4031.74,0,4031.74,0.003332186656890501,3994.9464285714284,3994.3534693877555
2017-03-16,2017,3,16,Thursday,11,2017-11,4010.71,4029.9,3996.23,4029.3,0,4029.3,-0.0006051832241563693,4000.514285714286,3995.0524
2017-03-17,2017,3,17,Friday,11,2017-11,4018.97,4041.72,4018.9,4026.13,0,4026.13,-0.0007867783429399422,4004.6135714285715,3990.7914
2017-03-21,2017,3,21,Tuesday,12,2017-12,4029.69,4059.53,4022.43,4055.49,0,4055.49,0.007292389534478971,4009.9464285714284,3987.8392
2017-03-22,2017,3,22,Wednesday,12,2017-12,4009.28,4028.52,4005.55,4007.99,0,4007.99,-0.011712518120961968,4008.872857142857,3984.905
2017-03-23,2017,3,23,Thursday,12,2017-12,4000.87,4003.12,3966.58,3990.19,0,3990.19,-0.004441141038649232,4006.0928571428567,3981.9932
2017-03-24,2017,3,24,Friday,12,2017-12,3983.2,4030.85,3983.2,4025.49,0,4025.49,0.008846708890174915,4007.829285714285,3981.5112
2017-03-27,2017,3,27,Monday,13,2017-13,3996.94,3996.94,3956.21,3980.74,0,3980.74,-0.011116659116917726,4008.1228571428574,3979.2515999999996
2017-03-28,2017,3,28,Tuesday,13,2017-13,4002.06,4012.18,3990.1,4008.62,0,4008.62,0.007003754834910447,4010.523571428571,3978.4032
2017-03-29,2017,3,29,Wednesday,13,2017-13,4033.21,4065.57,4028.77,4065.57,0,4065.57,0.01420687156852174,4018.707857142857,3979.8488
2017-03-30,2017,3,30,Thursday,13,2017-13,4070.72,4075.54,3986.35,3996.66,0,3996.66,-0.016949690963709796,4020.187142857143,3979.4754
2017-03-31,2017,3,31,Friday,13,2017-13,4026.86,4060.52,3998.43,3998.43,0,3998.43,0.0004428746929121541,4018.062857142857,3979.4509999999996
2017-04-03,2017,4,3,Monday,14,2017-14,4033.12,4068.39,4023.38,4055.2,0,4055.2,0.014198077871019787,4020.7071428571426,3980.6278
2017-04-04,2017,4,4,Tuesday,14,2017-14,4062.1,4090.6,4039.4,4051.78,0,4051.78,-0.000843342354551857,4023.095,3982.909
2017-04-05,2017,4,5,Wednesday,14,2017-14,4058.26,4101.25,4058.26,4097.14,0,4097.14,0.011195106124689325,4027.766428571428,3986.5771999999997
2017-04-06,2017,4,6,Thursday,14,2017-14,4102.04,4104.7,4036.02,4042.39,0,4042.39,-0.013363039172116897,4028.7014285714286,3988.6902
2017-04-07,2017,4,7,Friday,14,2017-14,4073.11,4111.35,4056.39,4091.43,0,4091.43,0.012131447080979907,4033.365714285714,3990.7524
2017-04-10,2017,4,10,Monday,15,2017-15,4132.54,4139.57,4098.8,4110.51,0,4110.51,0.004663365694429489,4037.2957142857144,3992.7808
2017-04-11,2017,4,11,Tuesday,15,2017-15,4121.61,4151.62,4113.87,4132.04,0,4132.04,0.005237859697488467,4046.156428571429,3995.4358
2017-04-12,2017,4,12,Wednesday,15,2017-15,4115.66,4121.05,4086.89,4119.58,0,4119.58,-0.0030154501940226064,4055.3985714285714,3998.6118
2017-04-13,2017,4,13,Thursday,15,2017-15,4112.66,4120.55,4081.12,4098.7,0,4098.7,-0.005068449311951051,4060.627857142857,4000.5868000000005
2017-04-14,2017,4,14,Friday,15,2017-15,4095.03,4100.93,4046.35,4054.01,0,4054.01,-0.010903501943856586,4065.8614285714284,4002.8062
2017-04-17,2017,4,17,Monday,16,2017-16,4047.95,4098.06,4047.58,4098.03,0,4098.03,0.010858329230708952,4072.2478571428574,4006.1292
2017-04-18,2017,4,18,Tuesday,16,2017-16,4122.43,4122.44,4076.17,4098.25,0,4098.25,5.3736760173839215e-05,4074.582142857143,4009.2942
2017-04-19,2017,4,19,Wednesday,16,2017-16,4097.83,4127.74,4094.93,4112.16,0,4112.16,0.0033941697675836657,4082.832142857143,4014.2086
2017-04-20,2017,4,20,Thursday,16,2017-16,4121.12,4144.95,4111.9,4133.22,0,4133.22,0.005121410108928082,4092.46,4018.645
2017-04-21,2017,4,21,Friday,16,2017-16,4137.3,4140.45,4104.26,4127.47,0,4127.47,-0.001391167104851987,4097.6221428571425,4023.187
2017-04-24,2017,4,24,Monday,17,2017-17,4162.45,4184.65,4150.69,4181.53,0,4181.53,0.013097507068151382,4106.89,4027.5268
2017-04-25,2017,4,25,Tuesday,17,2017-17,4169.48,4180.34,4151.02,4173.75,0,4173.75,-0.0018605117160391815,4112.362142857143,4031.0527999999995
2017-04-26,2017,4,26,Wednesday,17,2017-17,4146.37,4163.28,4132.82,4158.99,0,4158.99,-0.003536331985624419,4120.690714285714,4034.7771999999995
2017-04-27,2017,4,27,Thursday,17,2017-17,4148.25,4180.33,4148.25,4167.89,0,4167.89,0.0021399190289483894,4126.152142857143,4038.5564
2017-04-28,2017,4,28,Friday,17,2017-17,4168.27,4176.38,4144.81,4156.18,0,4156.18,-0.0028095656443379857,4129.414285714286,4042.8747999999996
2017-05-01,2017,5,1,Monday,18,2017-18,4139.8,4149.98,4127.72,4147.41,0,4147.41,-0.0021101153367590886,4130.512142857143,4047.3332
2017-05-02,2017,5,2,Tuesday,18,2017-18,4160.67,4181.88,4156.57,4166.91,0,4166.91,0.004701729335984339,4133.892857142857,4051.9829999999997
2017-05-08,2017,5,8,Monday,19,2017-19,4203.24,4286.78,4202.53,4280.65,0,4280.65,0.02729594395577517,4146.889285714286,4058.2092
2017-05-09,2017,5,9,Tuesday,19,2017-19,4299.34,4326.66,4297.5,4312.58,0,4312.58,0.00745918879368479,4165.358571428571,4065.1998000000003
2017-05-10,2017,5,10,Wednesday,19,2017-19,4320.29,4336.09,4313.5,4322.2,0,4322.2,0.002230710389888646,4181.370714285715,4072.0771999999997
2017-05-11,2017,5,11,Thursday,19,2017-19,4336.82,4345.42,4330.48,4342.67,0,4342.67,0.004735950589401128,4198.829285714286,4079.9035999999996
2017-05-12,2017,5,12,Friday,19,2017-19,4343.85,4381.44,4343.85,4381.23,0,4381.23,0.008879343649747407,4218.0485714285705,4088.1533999999997
2017-05-15,2017,5,15,Monday,20,2017-20,4365.88,4430.96,4365.07,4418.03,0,4418.03,0.008399423187450017,4238.392142857143,4096.8974
2017-05-16,2017,5,16,Tuesday,20,2017-20,4418.84,4434.01,4404.31,4417.59,0,4417.59,-9.957864198384403e-05,4259.115,4104.7888
2017-05-17,2017,5,17,Wednesday,20,2017-20,4405.2,4415.57,4389.73,4415.43,0,4415.43,-0.0004888792407483633,4275.822142857143,4112.5152
2017-05-18,2017,5,18,Thursday,20,2017-20,4386.45,4414.66,4385.67,4413.69,0,4413.69,-0.0003941256696902151,4292.960714285714,4120.7654
2017-05-19,2017,5,19,Friday,20,2017-20,4412.26,4412.71,4380.19,4393.66,0,4393.66,-0.004538104266986198,4309.722857142857,4129.106000000001
2017-05-22,2017,5,22,Monday,21,2017-21,4392.84,4429.0,4387.22,4421.63,0,4421.63,0.0063659285351673756,4327.847142857143,4138.0383999999995
2017-05-23,2017,5,23,Tuesday,21,2017-21,4427.32,4447.59,4412.43,4417.97,0,4417.97,-0.0008276739722100634,4346.546428571428,4147.378
2017-05-24,2017,5,24,Wednesday,21,2017-21,4427.58,4428.93,4394.96,4402.65,0,4402.65,-0.003467726524847503,4364.777857142857,4155.912
2017-05-25,2017,5,25,Thursday,21,2017-21,4401.1,4422.0,4395.72,4396.33,0,4396.33,-0.001435459180023746,4381.165,4163.2752
2017-05-26,2017,5,26,Friday,21,2017-21,4400.43,4402.48,4348.51,4351.96,0,4351.96,-0.01009253545548694,4386.2585714285715,4169.9508
2017-05-29,2017,5,29,Monday,22,2017-22,4364.66,4403.64,4361.68,4393.78,0,4393.78,0.009609423017242325,4392.058571428572,4177.4594
2017-05-30,2017,5,30,Tuesday,22,2017-22,4403.3,4411.38,4382.4,4400.95,0,4400.95,0.0016319457293862971,4397.683571428572,4184.8436
