Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,2470.94,2470.94,2439.9,2452.53,0,2452.53,0.0,2452.53,2452.53
2017-01-06,2017,1,6,Friday,01,2017-01,2422.7,2439.29,2419.81,2430.31,0,2430.31,-0.009060019831641064,2441.42,2441.42
2017-01-10,2017,1,10,Tuesday,02,2017-02,2406.42,2441.11,2401.4,2412.2,0,2412.2,-0.00745176828686378,2431.68,2431.68
2017-01-11,2017,1,11,Wednesday,02,2017-02,2422.55,2426.66,2397.14,2403.23,0,2403.23,-0.0037185850612290183,2424.5675,2424.5675
2017-01-12,2017,1,12,Thursday,02,2017-02,2385.42,2385.42,2349.97,2357.73,0,2357.73,-0.01893285302271619,2411.2,2411.2
2017-01-13,2017,1,13,Friday,02,2017-02,2367.47,2382.08,2360.47,2382.08,0,2382.08,0.010327771991688772,2406.346666666667,2406.346666666667
2017-01-16,2017,1,16,Monday,03,2017-03,2371.58,2371.58,2346.32,2352.71,0,2352.71,-0.012329609511120276,2398.684285714286,2398.684285714286
2017-01-17,2017,1,17,Tuesday,03,2017-03,2332.93,2342.82,2313.45,2313.45,0,2313.45,-0.016687143939315363,2388.0299999999997,2388.0299999999997
2017-01-18,2017,1,18,Wednesday,03,2017-03,2275.26,2302.95,2254.56,2298.54,0,2298.54,-0.006444882069664981,2378.0866666666666,2378.0866666666666
2017-01-19,2017,1,19,Thursday,03,2017-03,2343.73,2346.01,2306.3,2323.34,0,2323.34,0.01078947871547209,2372.612,2372.612
2017-01-20,2017,1,20,Friday,03,2017-03,2314.97,2340.69,2314.97,2330.04,0,2330.04,0.0028837582611325185,2368.741818181818,2368.741818181818
2017-01-23,2017,1,23,Monday,04,2017-04,2313.45,2313.6,2293.06,2293.06,0,2293.06,-0.0158709635237122,2362.435,2362.435
2017-01-24,2017,1,24,Tuesday,04,2017-04,2291.24,2296.26,2275.72,2280.74,0,2280.74,-0.005372763052237883,2356.150769230769,2356.150769230769
2017-01-25,2017,1,25,Wednesday,04,2017-04,2312.69,2312.69,2282.56,2286.98,0,2286.98,0.002735949850089625,2351.21,2351.21
2017-01-26,2017,1,26,Thursday,04,2017-04,2308.13,2313.15,2293.97,2307.36,0,2307.36,0.008911370946477648,2340.8407142857145,2348.286666666667
2017-01-27,2017,1,27,Friday,04,2017-04,2334.3,2352.71,2321.67,2346.77,0,2346.77,0.01708008731823374,2334.8735714285713,2348.191875
2017-01-30,2017,1,30,Monday,05,2017-05,2357.43,2370.51,2340.54,2354.69,0,2354.69,0.003374818072962249,2330.7657142857142,2348.5741176470588
2017-01-31,2017,1,31,Tuesday,05,2017-05,2333.08,2334.45,2300.97,2309.34,0,2309.34,-0.019259373694245907,2324.0592857142856,2346.394444444444
2017-02-01,2017,2,1,Wednesday,05,2017-05,2292.15,2313.15,2270.24,2312.39,0,2312.39,0.0013206390446742766,2320.820714285714,2344.604736842105
2017-02-02,2017,2,2,Thursday,05,2017-05,2317.56,2320.75,2278.0,2282.26,0,2282.26,-0.013029758912718514,2313.690714285714,2341.4875
2017-02-03,2017,2,3,Friday,05,2017-05,2282.11,2285.15,2255.48,2256.54,0,2256.54,-0.011269518193839034,2306.8214285714284,2337.442380952381
2017-02-06,2017,2,6,Monday,06,2017-06,2284.08,2286.21,2256.7,2271.0,0,2271.0,0.006408023206850633,2303.789285714286,2334.4222727272727
2017-02-07,2017,2,7,Tuesday,06,2017-06,2244.98,2278.0,2241.02,2268.11,0,2268.11,-0.0012725198494606405,2301.6157142857146,2331.5391304347827
2017-02-08,2017,2,8,Wednesday,06,2017-06,2273.13,2290.02,2257.76,2288.8,0,2288.8,0.009122106258663054,2299.1485714285714,2329.758333333333
2017-02-09,2017,2,9,Thursday,06,2017-06,2255.48,2265.82,2245.28,2250.61,0,2250.61,-0.01668557348458788,2293.475,2326.5924
2017-02-10,2017,2,10,Friday,06,2017-06,2290.47,2350.58,2289.87,2347.84,0,2347.84,0.0432016101536703,2297.3878571428572,2327.4096153846153
2017-02-13,2017,2,13,Monday,07,2017-07,2368.99,2368.99,2343.43,2362.29,0,2362.29,0.006154572130530944,2303.2128571428575,2328.7014814814816
2017-02-14,2017,2,14,Tuesday,07,2017-07,2422.85,2423.77,2398.66,2403.99,0,2403.99,0.01765234178798125,2311.5707142857145,2331.3903571428573
2017-02-15,2017,2,15,Wednesday,07,2017-07,2368.23,2383.9,2335.51,2381.31,0,2381.31,-0.009434287053089574,2316.8528571428574,2333.111724137931
2017-02-16,2017,2,16,Thursday,07,2017-07,2385.73,2428.03,2383.29,2426.2,0,2426.2,0.018850923010266918,2322.5264285714284,2336.2146666666667
2017-02-17,2017,2,17,Friday,07,2017-07,2438.53,2440.35,2409.46,2440.35,0,2440.35,0.005832226019764075,2328.645,2339.5738709677416
2017-02-20,2017,2,20,Monday,08,2017-08,2468.5,2532.56,2467.44,2529.37,0,2529.37,0.036478380547424916,2344.3614285714284,2345.505
2017-02-21,2017,2,21,Tuesday,08,2017-08,2537.28,2570.6,2537.28,2567.56,0,2567.56,0.015098597530959434,2362.5878571428575,2352.2339393939396
2017-02-22,2017,2,22,Wednesday,08,2017-08,2560.1,2574.41,2549.45,2568.32,0,2568.32,0.0002960046691338203,2383.0207142857143,2358.589411764706
2017-02-23,2017,2,23,Thursday,08,2017-08,2559.34,2569.08,2537.58,2566.65,0,2566.65,-0.0006502951233379184,2405.171428571429,2364.534
2017-02-24,2017,2,24,Friday,08,2017-08,2554.17,2572.73,2554.02,2562.23,0,2562.23,-0.0017220587314864533,2425.973571428571,2370.0255555555555
2017-02-27,2017,2,27,Monday,09,2017-09,2550.67,2554.02,2517.95,2539.26,0,2539.26,-0.008964835661989579,2445.3414285714284,2374.5994594594595
2017-02-28,2017,2,28,Tuesday,09,2017-09,2557.36,2581.71,2544.89,2544.89,0,2544.89,0.0022171352247695175,2463.6335714285715,2379.0807894736845
2017-03-01,2017,3,1,Wednesday,09,2017-09,2551.43,2592.06,2550.21,2586.43,0,2586.43,0.016322921940020496,2487.6207142857143,2384.397435897436
