Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,2921.83,2921.83,2885.12,2895.54,0,2895.54,0.0,2895.54,2895.54
2017-01-06,2017,1,6,Friday,01,2017-01,2852.02,2872.5,2841.18,2872.5,0,2872.5,-0.007957078386648608,2884.02,2884.02
2017-01-10,2017,1,10,Tuesday,02,2017-02,2862.86,2880.16,2846.42,2854.64,0,2854.64,-0.0062176179014360455,2874.226666666667,2874.226666666667
2017-01-11,2017,1,11,Wednesday,02,2017-02,2855.56,2866.83,2848.69,2865.56,0,2865.56,0.003825409307848915,2872.06,2872.06
2017-01-12,2017,1,12,Thursday,02,2017-02,2869.38,2872.15,2839.55,2850.39,0,2850.39,-0.005293961984893625,2867.7259999999997,2867.7259999999997
2017-01-13,2017,1,13,Friday,02,2017-02,2838.7,2858.75,2829.06,2855.21,0,2855.21,0.001691020716823921,2865.64,2865.64
2017-01-16,2017,1,16,Monday,03,2017-03,2842.59,2846.42,2809.85,2814.1,0,2814.1,-0.014398192722664627,2858.2771428571427,2858.2771428571427
2017-01-17,2017,1,17,Tuesday,03,2017-03,2798.94,2798.94,2748.05,2752.37,0,2752.37,-0.021935957615780044,2845.0387499999997,2845.0387499999997
2017-01-18,2017,1,18,Wednesday,03,2017-03,2740.18,2787.88,2721.47,2786.04,0,2786.04,0.012233064755624357,2838.483333333333,2838.483333333333
2017-01-19,2017,1,19,Thursday,03,2017-03,2828.77,2831.96,2805.53,2821.55,0,2821.55,0.012745692548472576,2836.79,2836.79
2017-01-20,2017,1,20,Friday,03,2017-03,2826.93,2842.74,2811.48,2836.14,0,2836.14,0.005170861227877133,2836.7309090909093,2836.7309090909093
2017-01-23,2017,1,23,Monday,04,2017-04,2800.28,2813.39,2789.79,2794.68,0,2794.68,-0.014618447082245911,2833.226666666667,2833.226666666667
2017-01-24,2017,1,24,Tuesday,04,2017-04,2777.96,2777.96,2743.09,2745.57,0,2745.57,-0.017572625303256095,2826.483846153846,2826.483846153846
2017-01-25,2017,1,25,Wednesday,04,2017-04,2794.33,2808.29,2782.71,2790.5,0,2790.5,0.01636451830474428,2823.9135714285717,2823.9135714285717
2017-01-26,2017,1,26,Thursday,04,2017-04,2834.66,2882.0,2831.4,2880.3,0,2880.3,0.03218063029139051,2822.825,2827.6726666666664
2017-01-27,2017,1,27,Friday,04,2017-04,2889.23,2897.02,2849.68,2862.3,0,2862.3,-0.0062493489202013475,2822.0964285714285,2829.836875
2017-01-30,2017,1,30,Monday,05,2017-05,2830.05,2855.63,2826.58,2837.21,0,2837.21,-0.008765708508057135,2820.8514285714286,2830.270588235294
2017-01-31,2017,1,31,Tuesday,05,2017-05,2805.1,2833.95,2796.46,2798.94,0,2798.94,-0.013488610310181115,2816.092857142857,2828.53
2017-02-01,2017,2,1,Wednesday,05,2017-05,2772.22,2813.54,2770.38,2809.85,0,2809.85,0.0038979601128985575,2813.197142857143,2827.5468421052633
2017-02-02,2017,2,2,Thursday,05,2017-05,2835.15,2845.85,2774.2,2779.59,0,2779.59,-0.010769261246664219,2807.795714285715,2825.1490000000003
2017-02-03,2017,2,3,Friday,05,2017-05,2801.91,2818.14,2778.31,2781.93,0,2781.93,0.0008417945366094859,2805.4978571428574,2823.0909523809523
2017-02-06,2017,2,6,Monday,06,2017-06,2825.37,2842.59,2794.19,2798.72,0,2798.72,0.006035392506308801,2808.808571428571,2821.9831818181815
2017-02-07,2017,2,7,Tuesday,06,2017-06,2766.19,2787.03,2765.41,2778.17,0,2778.17,-0.007342659874243207,2808.246428571429,2820.0782608695654
2017-02-08,2017,2,8,Wednesday,06,2017-06,2778.1,2799.65,2769.31,2799.65,0,2799.65,0.007731701469956498,2806.6821428571425,2819.227083333333
2017-02-09,2017,2,9,Thursday,06,2017-06,2795.25,2796.31,2782.49,2789.87,0,2789.87,-0.003493217186928521,2803.3771428571426,2818.0528000000004
