Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,1494.91,1505.64,1492.89,1505.38,0,1505.38,0.0,1505.38,1505.38
2017-01-06,2017,1,6,Friday,01,2017-01,1501.5,1515.55,1501.42,1513.4,0,1513.4,0.005327571447233614,1509.39,1509.39
2017-01-10,2017,1,10,Tuesday,02,2017-02,1516.36,1523.58,1507.23,1509.45,0,1509.45,-0.002610065533543815,1509.41,1509.41
2017-01-11,2017,1,11,Wednesday,02,2017-02,1511.59,1514.21,1509.01,1509.16,0,1509.16,-0.00019206797281512422,1509.3475,1509.3475
2017-01-12,2017,1,12,Thursday,02,2017-02,1508.54,1508.54,1490.39,1494.69,0,1494.69,-0.009588176499321865,1506.416,1506.416
2017-01-13,2017,1,13,Friday,02,2017-02,1490.04,1507.64,1490.04,1495.58,0,1495.58,0.0005954510188248552,1504.61,1504.61
2017-01-16,2017,1,16,Monday,03,2017-03,1488.72,1493.83,1475.74,1481.13,0,1481.13,-0.00966177108310129,1501.2557142857145,1501.2557142857145
2017-01-17,2017,1,17,Tuesday,03,2017-03,1480.11,1480.11,1465.1,1466.42,0,1466.42,-0.009931579867402562,1496.9012500000001,1496.9012500000001
2017-01-18,2017,1,18,Wednesday,03,2017-03,1465.43,1468.12,1452.24,1458.92,0,1458.92,-0.005114496375691724,1492.6811111111112,1492.6811111111112
2017-01-19,2017,1,19,Thursday,03,2017-03,1468.94,1477.55,1467.43,1471.76,0,1471.76,0.008801007206391986,1490.5890000000002,1490.5890000000002
2017-01-20,2017,1,20,Friday,03,2017-03,1472.25,1478.46,1469.64,1474.54,0,1474.54,0.0018889148220011531,1489.13,1489.13
2017-01-23,2017,1,23,Monday,04,2017-04,1462.49,1463.86,1455.06,1455.06,0,1455.06,-0.013210886074775718,1486.2908333333335,1486.2908333333335
2017-01-24,2017,1,24,Tuesday,04,2017-04,1453.74,1461.3,1451.43,1454.25,0,1454.25,-0.0005567183216704796,1483.826153846154,1483.826153846154
2017-01-25,2017,1,25,Wednesday,04,2017-04,1472.53,1472.53,1457.36,1463.34,0,1463.34,0.006250621158887748,1482.3628571428574,1482.3628571428574
2017-01-26,2017,1,26,Thursday,04,2017-04,1475.78,1486.49,1472.56,1485.32,0,1485.32,0.015020419712536537,1480.93,1482.5600000000002
2017-01-27,2017,1,27,Friday,04,2017-04,1488.24,1494.65,1485.42,1489.37,0,1489.37,0.0027267181311634303,1479.2135714285716,1482.985625
2017-01-30,2017,1,30,Monday,05,2017-05,1489.65,1499.65,1486.96,1498.34,0,1498.34,0.00602266107987437,1478.42,1483.8888235294119
2017-01-31,2017,1,31,Tuesday,05,2017-05,1485.84,1488.71,1476.27,1478.85,0,1478.85,-0.013007722332030736,1476.2549999999999,1483.608888888889
2017-02-01,2017,2,1,Wednesday,05,2017-05,1468.57,1479.92,1464.08,1479.8,0,1479.8,0.0006424405841511938,1475.1914285714283,1483.4084210526314
2017-02-02,2017,2,2,Thursday,05,2017-05,1484.69,1490.99,1466.8,1469.04,0,1469.04,-0.007271259231371174,1473.2957142857142,1482.69
2017-02-03,2017,2,3,Friday,05,2017-05,1475.91,1491.65,1475.91,1486.67,0,1486.67,0.012001037694019168,1473.6914285714286,1482.8795238095238
2017-02-06,2017,2,6,Monday,06,2017-06,1496.27,1496.63,1487.01,1495.28,0,1495.28,0.005791456810896323,1475.7528571428572,1483.4431818181818
