Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,201.29,201.29,196.44,197.59,0,197.59,0.0,197.59,197.59
2017-01-06,2017,1,6,Friday,01,2017-01,195.78,196.06,193.44,194.34,0,194.34,-0.016448201124728556,195.965,195.965
2017-01-10,2017,1,10,Tuesday,02,2017-02,194.58,196.26,193.43,195.02,0,195.02,0.003499063226223509,195.65,195.65
2017-01-11,2017,1,11,Wednesday,02,2017-02,197.29,198.76,196.41,198.61,0,198.61,0.01840834919106582,196.39000000000001,196.39000000000001
2017-01-12,2017,1,12,Thursday,02,2017-02,198.53,199.56,195.59,197.1,0,197.1,-0.007602812054758323,196.532,196.532
2017-01-13,2017,1,13,Friday,02,2017-02,195.81,197.24,195.28,196.71,0,196.71,-0.001978687861854289,196.5616666666667,196.5616666666667
2017-01-16,2017,1,16,Monday,03,2017-03,196.78,196.78,193.17,193.96,0,193.96,-0.013979970037823919,196.19,196.19
2017-01-17,2017,1,17,Tuesday,03,2017-03,192.9,194.08,191.11,191.43,0,191.43,-0.013043998507477172,195.595,195.595
2017-01-18,2017,1,18,Wednesday,03,2017-03,192.54,195.43,190.13,195.13,0,195.13,0.019328278475660987,195.54333333333335,195.54333333333335
2017-01-19,2017,1,19,Thursday,03,2017-03,198.1,198.1,195.96,196.99,0,196.99,0.00953210968999163,195.68800000000002,195.68800000000002
2017-01-20,2017,1,20,Friday,03,2017-03,196.08,197.88,195.58,197.18,0,197.18,0.0009644508722235212,195.82363636363635,195.82363636363635
2017-01-23,2017,1,23,Monday,04,2017-04,195.26,197.98,194.55,196.68,0,196.68,-0.0025357542274694334,195.895,195.895
2017-01-24,2017,1,24,Tuesday,04,2017-04,196.87,199.7,195.93,197.94,0,197.94,0.00640639522344344,196.05230769230772,196.05230769230772
2017-01-25,2017,1,25,Wednesday,04,2017-04,201.33,201.66,199.48,200.46,0,200.46,0.012731152073249596,196.36714285714285,196.36714285714285
2017-01-26,2017,1,26,Thursday,04,2017-04,202.79,203.42,201.72,202.91,0,202.91,0.012221874020683199,196.74714285714285,196.80333333333334
2017-01-27,2017,1,27,Friday,04,2017-04,202.81,202.89,200.3,201.64,0,201.64,-0.00625895347464378,197.26857142857145,197.105625
2017-01-30,2017,1,30,Monday,05,2017-05,201.39,202.61,200.49,202.12,0,202.12,0.002380458882126568,197.7757142857143,197.40058823529412
2017-01-31,2017,1,31,Tuesday,05,2017-05,201.03,201.03,197.58,199.24,0,199.24,-0.01424891002176032,197.8207142857143,197.5027777777778
2017-02-01,2017,2,1,Wednesday,05,2017-05,198.49,201.78,197.9,200.95,0,200.95,0.008582570808736367,198.0957142857143,197.68421052631578
2017-02-02,2017,2,2,Thursday,05,2017-05,201.0,201.91,199.56,199.74,0,199.74,-0.0060213559266177885,198.31214285714287,197.787
2017-02-03,2017,2,3,Friday,05,2017-05,200.85,201.82,198.44,198.65,0,198.65,-0.005457152131283949,198.64714285714285,197.82809523809524
2017-02-06,2017,2,6,Monday,06,2017-06,200.78,201.15,198.15,198.7,0,198.7,0.00025171433825388334,199.16642857142855,197.86772727272728
2017-02-07,2017,2,7,Tuesday,06,2017-06,197.55,199.6,197.55,198.96,0,198.96,0.0013085544520301529,199.44000000000003,197.91521739130437
2017-02-08,2017,2,8,Wednesday,06,2017-06,197.98,198.33,192.16,194.35,0,194.35,-0.023170488815781987,199.25142857142856,197.76666666666665
2017-02-09,2017,2,9,Thursday,06,2017-06,193.48,195.02,193.01,193.81,0,193.81,-0.0027785362900079047,199.0107142857143,197.6084
2017-02-10,2017,2,10,Friday,06,2017-06,196.74,198.89,196.35,198.34,0,198.34,0.02337340094092588,199.12928571428571,197.63653846153846
2017-02-13,2017,2,13,Monday,07,2017-07,201.4,203.68,201.1,201.58,0,201.58,0.01633561335578726,199.3892857142857,197.7825925925926
2017-02-14,2017,2,14,Tuesday,07,2017-07,203.58,204.51,202.01,202.24,0,202.24,0.0032741524760107055,199.51642857142858,197.94178571428571
2017-02-15,2017,2,15,Wednesday,07,2017-07,204.12,205.29,201.99,202.02,0,202.02,-0.0010878224620626264,199.45285714285714,198.08241379310346
