Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,542.26,542.26,535.8,537.22,0,537.22,0.0,537.22,537.22
2017-01-06,2017,1,6,Friday,01,2017-01,535.44,538.41,535.18,537.87,0,537.87,0.001209978127231004,537.5450000000001,537.5450000000001
2017-01-10,2017,1,10,Tuesday,02,2017-02,536.56,536.72,531.69,536.3,0,536.3,-0.00291893457242709,537.13,537.13
2017-01-11,2017,1,11,Wednesday,02,2017-02,537.72,538.82,536.25,538.34,0,538.34,0.0038039140573085106,537.4325,537.4325
2017-01-12,2017,1,12,Thursday,02,2017-02,536.97,536.97,528.87,531.65,0,531.65,-0.012427094601312971,536.2760000000001,536.2760000000001
2017-01-13,2017,1,13,Friday,02,2017-02,530.23,537.37,530.23,537.06,0,537.06,0.010175816601332155,536.4066666666666,536.4066666666666
2017-01-16,2017,1,16,Monday,03,2017-03,532.12,536.77,531.96,533.29,0,533.29,-0.00701973624620722,535.9614285714285,535.9614285714285
2017-01-17,2017,1,17,Tuesday,03,2017-03,531.51,531.58,527.81,528.3,0,528.3,-0.009356992330576186,535.00375,535.00375
2017-01-18,2017,1,18,Wednesday,03,2017-03,524.41,527.02,518.55,526.05,0,526.05,-0.004258943880350308,534.0088888888889,534.0088888888889
2017-01-19,2017,1,19,Thursday,03,2017-03,530.37,534.17,530.37,532.84,0,532.84,0.012907592852510863,533.892,533.892
2017-01-20,2017,1,20,Friday,03,2017-03,531.63,534.87,530.72,532.13,0,532.13,-0.0013325237160699555,533.7318181818182,533.7318181818182
2017-01-23,2017,1,23,Monday,04,2017-04,529.46,529.71,525.86,526.95,0,526.95,-0.009734449529719691,533.1666666666666,533.1666666666666
2017-01-24,2017,1,24,Tuesday,04,2017-04,527.76,528.8,525.0,526.45,0,526.45,-0.0009488566057828107,532.65,532.65
2017-01-25,2017,1,25,Wednesday,04,2017-04,533.0,533.0,526.26,529.04,0,529.04,0.004919680425981232,532.3921428571429,532.3921428571429
2017-01-26,2017,1,26,Thursday,04,2017-04,534.81,535.75,530.96,535.56,0,535.56,0.012324247319761117,532.2735714285715,532.6033333333334
2017-01-27,2017,1,27,Friday,04,2017-04,537.91,540.61,536.73,539.81,0,539.81,0.007935618827720647,532.4121428571428,533.05375
2017-01-30,2017,1,30,Monday,05,2017-05,536.61,537.42,534.19,537.13,0,537.13,-0.00496469625961371,532.4714285714285,533.2935294117647
2017-01-31,2017,1,31,Tuesday,05,2017-05,532.13,536.73,532.13,534.11,0,534.11,-0.0056225113171789465,532.1692857142857,533.338888888889
2017-02-01,2017,2,1,Wednesday,05,2017-05,537.56,547.47,537.17,546.78,0,546.78,0.02372178819494053,533.25,534.0463157894736
2017-02-02,2017,2,2,Thursday,05,2017-05,545.6,545.6,537.72,538.39,0,538.39,-0.015344405791898663,533.345,534.2635
2017-02-03,2017,2,3,Friday,05,2017-05,539.81,544.13,537.58,540.02,0,540.02,0.003027554075045069,533.8257142857143,534.537619047619
2017-02-06,2017,2,6,Monday,06,2017-06,541.99,542.87,533.81,535.71,0,535.71,-0.007981181072388654,534.355,534.5909090909091
2017-02-07,2017,2,7,Tuesday,06,2017-06,533.33,533.95,527.95,532.79,0,532.79,-0.0054507920806856625,534.8364285714285,534.5126086956521
2017-02-08,2017,2,8,Wednesday,06,2017-06,533.24,536.11,531.46,535.11,0,535.11,0.004354450008253963,534.9985714285714,534.5375
2017-02-09,2017,2,9,Thursday,06,2017-06,533.0,534.17,529.35,531.96,0,531.96,-0.005886571854638034,534.9864285714285,534.4344
2017-02-10,2017,2,10,Friday,06,2017-06,537.18,545.6,535.07,544.58,0,544.58,0.02372357808090353,536.2457142857143,534.8246153846154
2017-02-13,2017,2,13,Monday,07,2017-07,544.3,545.12,541.95,542.4,0,542.4,-0.004003071371275868,537.385,535.1051851851852
2017-02-14,2017,2,14,Tuesday,07,2017-07,543.66,543.75,537.46,537.94,0,537.94,-0.008222754004250432,538.0207142857142,535.2064285714285
2017-02-15,2017,2,15,Wednesday,07,2017-07,541.57,545.05,540.92,541.99,0,541.99,0.007528697948819829,538.4799999999999,535.4403448275863
2017-02-16,2017,2,16,Thursday,07,2017-07,542.39,545.45,541.11,544.08,0,544.08,0.0038562093269747244,538.785,535.7283333333334
2017-02-17,2017,2,17,Friday,07,2017-07,542.7,542.7,539.43,542.45,0,542.45,-0.002995891838724396,539.1650000000001,535.9451612903225
2017-02-20,2017,2,20,Monday,08,2017-08,538.58,539.91,536.53,537.82,0,537.82,-0.008535357689411271,539.4300000000001,536.00375
2017-02-21,2017,2,21,Tuesday,08,2017-08,539.91,546.1,539.9,545.93,0,545.93,0.015079367150938827,539.3692857142858,536.3045454545454
2017-02-22,2017,2,22,Wednesday,08,2017-08,549.33,552.0,547.78,551.94,0,551.94,0.011008755419660954,540.3371428571429,536.764411764706
2017-02-23,2017,2,23,Thursday,08,2017-08,553.71,554.83,550.46,554.62,0,554.62,0.004855586954971125,541.38,537.2745714285714
2017-02-24,2017,2,24,Friday,08,2017-08,550.91,553.71,548.68,549.04,0,549.04,-0.010060973529569028,542.3321428571428,537.6013888888889
2017-02-27,2017,2,27,Monday,09,2017-09,544.77,546.31,539.38,540.05,0,540.05,-0.016374017547274633,542.8507142857143,537.6675675675676
2017-02-28,2017,2,28,Tuesday,09,2017-09,546.45,548.09,542.11,542.23,0,542.23,0.004036649801049563,543.3592857142858,537.7876315789474
2017-03-01,2017,3,1,Wednesday,09,2017-09,540.62,545.32,539.72,544.6,0,544.6,0.004370830095264511,544.2621428571429,537.9623076923077
2017-03-02,2017,3,2,Thursday,09,2017-09,549.73,551.75,546.07,546.36,0,546.36,0.0032317477864949318,544.3892857142857,538.17225
2017-03-03,2017,3,3,Friday,09,2017-09,546.66,546.97,543.27,545.12,0,545.12,-0.002269548040889413,544.5835714285714,538.3417073170731
2017-03-06,2017,3,6,Monday,10,2017-10,543.72,544.34,542.09,543.49,0,543.49,-0.0029901762867129422,544.98,538.4642857142857
2017-03-07,2017,3,7,Tuesday,10,2017-10,543.3,545.1,541.59,543.75,0,543.75,0.0004784076437411855,545.1057142857143,538.5872093023256
2017-03-08,2017,3,8,Wednesday,10,2017-10,542.33,543.16,541.23,542.66,0,542.66,-0.0020046470905172864,545.0042857142856,538.6797727272727
2017-03-09,2017,3,9,Thursday,10,2017-10,543.6,545.05,542.11,543.15,0,543.15,0.0009030540186916181,545.0542857142857,538.7791111111111
2017-03-10,2017,3,10,Friday,10,2017-10,547.55,547.8,545.0,547.31,0,547.31,0.007658976263545059,545.7321428571429,538.9645652173913
2017-03-13,2017,3,13,Monday,11,2017-11,547.85,550.6,546.36,550.44,0,550.44,0.005718888558174706,546.0542857142857,539.2087234042554
2017-03-14,2017,3,14,Tuesday,11,2017-11,550.7,552.72,549.4,549.4,0,549.4,-0.0018893576461214145,545.8728571428571,539.4210416666666
2017-03-15,2017,3,15,Wednesday,11,2017-11,548.25,548.4,546.05,547.62,0,547.62,-0.0032399512518650475,545.3728571428571,539.5883673469389
2017-03-16,2017,3,16,Thursday,11,2017-11,545.64,549.27,544.84,548.52,0,548.52,0.0016435199994293548,545.3357142857143,539.7669999999999
2017-03-17,2017,3,17,Friday,11,2017-11,546.26,547.31,544.86,546.41,0,546.41,-0.0038467992262559703,545.7900000000001,539.9508
2017-03-21,2017,3,21,Tuesday,12,2017-12,546.19,547.76,544.74,546.27,0,546.27,-0.00025613297736104546,546.0785714285714,540.1188
2017-03-22,2017,3,22,Wednesday,12,2017-12,540.55,542.11,537.41,538.44,0,538.44,-0.014333602083018593,545.6385714285715,540.1616
2017-03-23,2017,3,23,Thursday,12,2017-12,537.01,539.81,535.96,538.55,0,538.55,0.0002042666797856807,545.0807142857142,540.1658
2017-03-24,2017,3,24,Friday,12,2017-12,539.59,545.01,538.43,544.67,0,544.67,0.011363838558919648,545.0485714285713,540.4262
2017-03-27,2017,3,27,Monday,13,2017-13,540.36,541.07,536.23,537.42,0,537.42,-0.013310812468980693,544.615,540.4334
2017-03-28,2017,3,28,Tuesday,13,2017-13,540.73,545.95,539.26,545.95,0,545.95,0.015872184824026192,544.7721428571429,540.6866
2017-03-29,2017,3,29,Wednesday,13,2017-13,540.59,543.98,540.59,543.65,0,543.65,-0.004212817550220294,544.8428571428572,540.9936
2017-03-30,2017,3,30,Thursday,13,2017-13,542.85,543.23,538.05,538.18,0,538.18,-0.010061678456055878,544.487857142857,541.2362
2017-03-31,2017,3,31,Friday,13,2017-13,540.28,540.86,530.13,530.13,0,530.13,-0.014957798324952476,543.2607142857142,541.182
2017-04-03,2017,4,3,Monday,14,2017-14,530.34,533.6,527.62,530.72,0,530.72,0.0011128700788081147,541.8521428571428,541.1538
2017-04-04,2017,4,4,Tuesday,14,2017-14,526.59,527.52,522.39,524.08,0,524.08,-0.012511218683714298,540.0435714285715,541.0964
2017-04-05,2017,4,5,Wednesday,14,2017-14,525.1,525.83,522.32,523.99,0,523.99,-0.00017178074441503988,538.3557142857143,541.0472
2017-04-06,2017,4,6,Thursday,14,2017-14,523.13,523.56,513.5,514.68,0,514.68,-0.017767510319098845,535.9385714285714,540.76
2017-04-07,2017,4,7,Friday,14,2017-14,519.0,524.37,518.86,521.92,0,521.92,0.014066974309094205,534.1892857142857,540.4872
2017-04-10,2017,4,10,Monday,15,2017-15,528.44,528.69,524.27,525.25,0,525.25,0.006380321119869858,532.6878571428572,540.196
