Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,2211.9,2224.48,2207.01,2222.88,0,2222.88,0.0,2222.88,2222.88
2017-01-06,2017,1,6,Friday,01,2017-01,2199.66,2207.75,2197.71,2205.79,0,2205.79,-0.007688154399227876,2214.335,2214.335
2017-01-10,2017,1,10,Tuesday,02,2017-02,2197.96,2208.77,2182.74,2190.31,0,2190.31,-0.007017884837003496,2206.3266666666664,2206.3266666666664
2017-01-11,2017,1,11,Wednesday,02,2017-02,2196.31,2199.92,2183.94,2197.61,0,2197.61,0.003332883762042327,2204.1475,2204.1475
2017-01-12,2017,1,12,Thursday,02,2017-02,2191.85,2192.19,2156.09,2166.55,0,2166.55,-0.014133561949343232,2196.6279999999997,2196.6279999999997
2017-01-13,2017,1,13,Friday,02,2017-02,2165.49,2191.58,2165.49,2187.89,0,2187.89,0.00984968879973147,2195.1716666666666,2195.1716666666666
2017-01-16,2017,1,16,Monday,03,2017-03,2182.14,2189.16,2173.1,2177.05,0,2177.05,-0.004954474074208015,2192.582857142857,2192.582857142857
2017-01-17,2017,1,17,Tuesday,03,2017-03,2173.61,2173.61,2137.71,2138.0,0,2138.0,-0.017937138766812022,2185.76,2185.76
2017-01-18,2017,1,18,Wednesday,03,2017-03,2139.58,2142.77,2117.93,2136.71,0,2136.71,-0.0006033859038820921,2180.31,2180.31
2017-01-19,2017,1,19,Thursday,03,2017-03,2159.06,2166.08,2153.48,2161.53,0,2161.53,0.011616021272482291,2178.432,2178.432
2017-01-20,2017,1,20,Friday,03,2017-03,2158.23,2165.62,2152.11,2160.76,0,2160.76,-0.0003562381835150452,2176.8254545454547,2176.8254545454547
2017-01-23,2017,1,23,Monday,04,2017-04,2136.46,2147.92,2128.91,2136.85,0,2136.85,-0.01106551028402658,2173.494166666667,2173.494166666667
2017-01-24,2017,1,24,Tuesday,04,2017-04,2138.96,2153.47,2132.3,2140.91,0,2140.91,0.0018999060615332297,2170.987692307692,2170.987692307692
2017-01-25,2017,1,25,Wednesday,04,2017-04,2172.77,2172.77,2155.89,2170.97,0,2170.97,0.014040786314138964,2170.986428571429,2170.986428571429
2017-01-26,2017,1,26,Thursday,04,2017-04,2188.57,2216.63,2186.54,2211.93,0,2211.93,0.018867124598795915,2170.2042857142856,2173.716
2017-01-27,2017,1,27,Friday,04,2017-04,2213.86,2223.68,2207.65,2209.96,0,2209.96,-0.0008906117119469315,2170.5021428571426,2175.98125
2017-01-30,2017,1,30,Monday,05,2017-05,2200.11,2209.58,2187.54,2207.48,0,2207.48,-0.001122183438879154,2171.7285714285713,2177.834117647059
2017-01-31,2017,1,31,Tuesday,05,2017-05,2195.3,2208.0,2191.22,2195.17,0,2195.17,-0.005576521056891326,2171.554285714286,2178.797222222222
2017-02-01,2017,2,1,Wednesday,05,2017-05,2173.46,2207.62,2169.17,2205.98,0,2205.98,0.0049244746322492094,2174.3707142857143,2180.2278947368422
2017-02-02,2017,2,2,Thursday,05,2017-05,2220.73,2226.0,2200.14,2209.56,0,2209.56,0.001622896924132311,2175.9185714285713,2181.6945
2017-02-03,2017,2,3,Friday,05,2017-05,2217.86,2231.17,2212.09,2213.94,0,2213.94,0.001982242028436776,2178.5535714285716,2183.23
2017-02-06,2017,2,6,Monday,06,2017-06,2225.28,2225.36,2208.8,2218.4,0,2218.4,0.0020144904810142084,2184.2964285714284,2184.8286363636366
2017-02-07,2017,2,7,Tuesday,06,2017-06,2207.82,2224.56,2204.06,2217.15,0,2217.15,-0.0005634691917716372,2190.042142857143,2186.233913043478
2017-02-08,2017,2,8,Wednesday,06,2017-06,2219.92,2223.64,2209.35,2222.92,0,2222.92,0.0026024489932550132,2194.427142857143,2187.7625000000003
2017-02-09,2017,2,9,Thursday,06,2017-06,2209.86,2216.37,2202.73,2205.08,0,2205.08,-0.008025409990906174,2197.592857142857,2188.4552
2017-02-10,2017,2,10,Friday,06,2017-06,2240.09,2257.21,2232.08,2255.91,0,2255.91,0.023051241761521846,2206.097142857143,2191.049615384615
2017-02-13,2017,2,13,Monday,07,2017-07,2268.64,2268.64,2254.24,2259.55,0,2259.55,0.0016136002148003925,2214.5714285714284,2193.5866666666666
2017-02-14,2017,2,14,Tuesday,07,2017-07,2256.53,2262.0,2227.38,2228.83,0,2228.83,-0.013595614188345762,2218.7042857142856,2194.845357142857
2017-02-15,2017,2,15,Wednesday,07,2017-07,2260.68,2272.78,2246.07,2262.79,0,2262.79,0.01523667563122122,2222.3371428571427,2197.188275862069
