Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,674.76,686.76,672.01,685.55,0,685.55,0.0,685.55,685.55
2017-01-06,2017,1,6,Friday,01,2017-01,688.03,695.57,684.07,695.5,0,695.5,0.014513912018383923,690.525,690.525
2017-01-10,2017,1,10,Tuesday,02,2017-02,703.12,705.86,696.25,698.66,0,698.66,0.004543455276105224,693.2366666666667,693.2366666666667
2017-01-11,2017,1,11,Wednesday,02,2017-02,699.29,701.81,694.09,696.45,0,696.45,-0.003163142333105773,694.04,694.04
2017-01-12,2017,1,12,Thursday,02,2017-02,697.78,697.78,689.02,693.9,0,693.9,-0.003661408210602124,694.012,694.012
2017-01-13,2017,1,13,Friday,02,2017-02,694.48,698.59,693.63,697.0,0,697.0,0.004467467180960583,694.5099999999999,694.5099999999999
2017-01-16,2017,1,16,Monday,03,2017-03,688.15,693.3,685.17,687.91,0,687.91,-0.013041645416741354,693.5671428571429,693.5671428571429
2017-01-17,2017,1,17,Tuesday,03,2017-03,680.14,683.03,674.41,675.41,0,675.41,-0.018170982378494682,691.2975,691.2975
2017-01-18,2017,1,18,Wednesday,03,2017-03,674.29,681.18,670.09,679.88,0,679.88,0.006618249531421538,690.0288888888889,690.0288888888889
2017-01-19,2017,1,19,Thursday,03,2017-03,678.64,679.59,663.35,665.92,0,665.92,-0.020533067412480288,687.618,687.618
2017-01-20,2017,1,20,Friday,03,2017-03,659.79,675.92,659.79,672.71,0,672.71,0.010196478911515205,686.2627272727273,686.2627272727273
2017-01-23,2017,1,23,Monday,04,2017-04,662.07,663.71,653.26,653.26,0,653.26,-0.028912921722194618,683.5124999999999,683.5124999999999
2017-01-24,2017,1,24,Tuesday,04,2017-04,656.15,656.34,650.73,652.57,0,652.57,-0.001056244728119493,681.1323076923077,681.1323076923077
2017-01-25,2017,1,25,Wednesday,04,2017-04,665.48,665.48,654.05,658.64,0,658.64,0.009301695229770202,679.5257142857143,679.5257142857143
2017-01-26,2017,1,26,Thursday,04,2017-04,658.94,662.14,655.03,660.58,0,660.58,0.002945467020314174,677.742142857143,678.2626666666667
2017-01-27,2017,1,27,Friday,04,2017-04,658.3,664.85,656.73,658.91,0,658.91,-0.0025281478429665105,675.1285714285715,677.053125
2017-01-30,2017,1,30,Monday,05,2017-05,657.26,657.99,651.43,657.06,0,657.06,-0.0028076302702003675,672.157142857143,675.8770588235294
2017-01-31,2017,1,31,Tuesday,05,2017-05,657.45,659.32,652.65,652.65,0,652.65,-0.006711674977805893,669.0285714285714,674.5866666666666
2017-02-01,2017,2,1,Wednesday,05,2017-05,647.34,655.71,647.34,654.16,0,654.16,0.0023135657304607093,666.1899999999999,673.5115789473684
2017-02-02,2017,2,2,Thursday,05,2017-05,652.36,654.03,642.0,642.97,0,642.97,-0.017105911246168337,662.3307142857144,671.9845
2017-02-03,2017,2,3,Friday,05,2017-05,642.53,646.44,640.73,642.53,0,642.53,-0.0006842332088524694,659.0892857142857,670.5819047619048
2017-02-06,2017,2,6,Monday,06,2017-06,640.74,649.01,640.66,648.57,0,648.57,0.00940030465806152,657.1721428571428,669.5813636363636
2017-02-07,2017,2,7,Tuesday,06,2017-06,642.38,644.77,637.24,638.24,0,638.24,-0.015927374027766006,654.1978571428572,668.2186956521739
2017-02-08,2017,2,8,Wednesday,06,2017-06,642.53,642.53,633.19,638.5,0,638.5,0.0004073855753374822,652.2392857142858,666.9804166666667
2017-02-09,2017,2,9,Thursday,06,2017-06,638.96,644.09,633.73,640.93,0,640.93,0.0038057833606597313,649.9692857142857,665.9384
2017-02-10,2017,2,10,Friday,06,2017-06,650.29,658.77,648.13,657.4,0,657.4,0.02569708381023239,650.2650000000001,665.61
2017-02-13,2017,2,13,Monday,07,2017-07,662.12,665.53,659.03,663.6,0,663.6,0.009431017556473353,651.0528571428571,665.5355555555556
2017-02-14,2017,2,14,Tuesday,07,2017-07,657.12,662.16,651.05,652.48,0,652.48,-0.016757075838299884,650.6128571428571,665.0692857142857
2017-02-15,2017,2,15,Wednesday,07,2017-07,639.65,639.65,611.32,626.15,0,626.15,-0.04035366117405126,648.1535714285714,663.7272413793104
2017-02-16,2017,2,16,Thursday,07,2017-07,627.53,627.53,618.66,624.94,0,624.94,-0.001932479318815905,645.7271428571429,662.4343333333333
2017-02-17,2017,2,17,Friday,07,2017-07,617.44,623.02,617.44,621.56,0,621.56,-0.005408527009965858,643.1914285714286,661.1158064516129
2017-02-20,2017,2,20,Monday,08,2017-08,612.66,616.47,611.23,614.87,0,614.87,-0.010763244847937004,640.4928571428571,659.670625
2017-02-21,2017,2,21,Tuesday,08,2017-08,615.02,624.23,615.02,622.1,0,622.1,0.011758551443662668,638.2028571428572,658.5321212121213
2017-02-22,2017,2,22,Wednesday,08,2017-08,622.92,627.22,614.36,615.3,0,615.3,-0.010930699340671146,636.2264285714285,657.2605882352941
2017-02-23,2017,2,23,Thursday,08,2017-08,616.96,622.39,612.05,621.49,0,621.49,0.010060137435739636,634.7235714285715,656.2385714285714
2017-02-24,2017,2,24,Friday,08,2017-08,622.17,626.62,620.28,624.8,0,624.8,0.005325906467689823,633.0257142857143,655.3652777777778
2017-02-27,2017,2,27,Monday,09,2017-09,615.82,618.58,613.36,616.13,0,616.13,-0.013876413379555141,631.4464285714286,654.3048648648648
2017-02-28,2017,2,28,Tuesday,09,2017-09,617.61,623.07,614.21,614.84,0,614.84,-0.0020936783099682055,629.7564285714285,653.2663157894737
2017-03-01,2017,3,1,Wednesday,09,2017-09,616.3,621.66,614.33,620.16,0,620.16,0.008652569866459014,628.2728571428571,652.4174358974359
2017-03-02,2017,3,2,Thursday,09,2017-09,623.7,627.19,622.07,625.45,0,625.45,0.008530120116712503,625.9907142857144,651.74325
2017-03-03,2017,3,3,Friday,09,2017-09,626.23,630.18,622.24,629.81,0,629.81,0.006970957337065764,623.5771428571428,651.2082926829269
2017-03-06,2017,3,6,Monday,10,2017-10,631.34,631.44,625.79,627.87,0,627.87,-0.003080297945295407,621.8192857142857,650.652619047619
2017-03-07,2017,3,7,Tuesday,10,2017-10,628.44,632.97,626.79,630.28,0,630.28,0.003838428653112569,622.1142857142858,650.1788372093023
2017-03-08,2017,3,8,Wednesday,10,2017-10,630.25,632.29,628.46,631.15,0,631.15,0.001380331085784281,622.5578571428571,649.7463636363636
2017-03-09,2017,3,9,Thursday,10,2017-10,633.41,633.65,628.99,630.03,0,630.03,-0.0017745307357426299,623.1628571428571,649.3082222222222
2017-03-10,2017,3,10,Friday,10,2017-10,644.26,646.85,636.58,645.11,0,645.11,0.023935297292919433,625.3228571428572,649.2169565217391
2017-03-13,2017,3,13,Monday,11,2017-11,641.95,648.04,640.52,641.63,0,641.63,-0.0053943987037397,626.717857142857,649.0555319148937
2017-03-14,2017,3,14,Tuesday,11,2017-11,637.41,640.33,636.78,637.24,0,637.24,-0.006841972188067036,628.285,648.8093749999999
2017-03-15,2017,3,15,Wednesday,11,2017-11,639.35,643.46,635.54,642.0,0,642.0,0.007469728577257584,629.75,648.6704081632653
2017-03-16,2017,3,16,Thursday,11,2017-11,636.68,639.86,632.75,635.71,0,635.71,-0.009797473562840775,630.5292857142857,648.4112
2017-03-17,2017,3,17,Friday,11,2017-11,633.94,636.97,632.1,634.07,0,634.07,-0.002579815626232218,631.8107142857142,647.3816
2017-03-21,2017,3,21,Tuesday,12,2017-12,631.68,640.49,631.56,636.35,0,636.35,0.0035957674001019235,633.3471428571429,646.1986
2017-03-22,2017,3,22,Wednesday,12,2017-12,630.4,633.02,628.04,628.04,0,628.04,-0.013058847925533579,633.9100000000001,644.7862
2017-03-23,2017,3,23,Thursday,12,2017-12,625.91,626.05,620.12,623.65,0,623.65,-0.006989927021954778,633.7814285714286,643.3302
2017-03-24,2017,3,24,Friday,12,2017-12,622.84,629.16,621.44,628.34,0,628.34,0.007520247346759268,633.6764285714287,642.0189999999999
2017-03-27,2017,3,27,Monday,13,2017-13,622.97,626.42,620.63,624.38,0,624.38,-0.006302355099792378,633.4271428571428,640.5666
2017-03-28,2017,3,28,Tuesday,13,2017-13,630.52,636.52,628.79,636.52,0,636.52,0.01944331105016084,633.8728571428571,639.5387999999999
2017-03-29,2017,3,29,Wednesday,13,2017-13,634.28,634.59,626.51,627.81,0,627.81,-0.013683814656875293,633.6342857142856,638.5868
2017-03-30,2017,3,30,Thursday,13,2017-13,625.77,628.77,612.96,614.26,0,614.26,-0.021582943638459806,632.5078571428572,637.2744
2017-03-31,2017,3,31,Friday,13,2017-13,612.49,613.76,599.06,599.06,0,599.06,-0.024745241372348015,629.2185714285714,635.9372
2017-04-03,2017,4,3,Monday,14,2017-14,607.16,616.67,603.75,614.06,0,614.06,0.025039228226105825,627.2492857142857,634.7642
2017-04-04,2017,4,4,Tuesday,14,2017-14,609.48,610.74,598.88,601.24,0,601.24,-0.020877450697308175,624.6778571428571,633.7238
2017-04-05,2017,4,5,Wednesday,14,2017-14,605.9,610.37,602.6,606.65,0,606.65,0.008998127648792265,622.1528571428571,632.8054
2017-04-06,2017,4,6,Thursday,14,2017-14,609.85,611.51,597.64,599.49,0,599.49,-0.011802577914017398,619.5657142857143,631.6224
2017-04-07,2017,4,7,Friday,14,2017-14,602.71,606.76,596.0,598.98,0,598.98,-0.0008507394183939754,617.0592857142857,630.3904
2017-04-10,2017,4,10,Monday,15,2017-15,602.75,605.84,600.98,601.79,0,601.79,0.004691304634913962,614.5907142857143,629.248
2017-04-11,2017,4,11,Tuesday,15,2017-15,596.69,599.76,595.21,597.28,0,597.28,-0.0074942237244499665,612.3935714285715,628.0524
2017-04-12,2017,4,12,Wednesday,15,2017-15,596.55,599.83,592.84,595.56,0,595.56,-0.0028797744004702697,610.3871428571429,626.9105999999999
2017-04-13,2017,4,13,Thursday,15,2017-15,597.52,601.63,594.21,600.56,0,600.56,0.008395459769791058,608.4028571428571,625.8385999999999
2017-04-14,2017,4,14,Friday,15,2017-15,598.56,601.33,593.87,594.94,0,594.94,-0.009357924503853088,606.3000000000001,624.878
2017-04-17,2017,4,17,Monday,16,2017-16,593.16,603.31,592.1,599.61,0,599.61,0.00784950228761283,603.6635714285713,624.0196
2017-04-18,2017,4,18,Tuesday,16,2017-16,601.99,605.51,599.75,601.5,0,601.5,0.003152073338687611,601.7842857142857,623.0782
2017-04-19,2017,4,19,Wednesday,16,2017-16,605.57,609.36,599.9,601.77,0,601.77,0.000448910276392267,600.8921428571429,622.3488000000001
2017-04-20,2017,4,20,Thursday,16,2017-16,608.29,608.42,601.79,604.55,0,604.55,0.0046196523114996335,601.2842857142857,621.6698
2017-04-21,2017,4,21,Friday,16,2017-16,607.37,612.95,603.32,610.88,0,610.88,0.010470626445552966,601.0571428571428,621.0688
2017-04-24,2017,4,24,Monday,17,2017-17,619.28,620.4,612.78,616.5,0,616.5,0.009199834783044869,602.1471428571429,620.2507999999999
2017-04-25,2017,4,25,Tuesday,17,2017-17,618.5,622.93,617.94,620.77,0,620.77,0.006926227950121655,603.1557142857143,619.3942
2017-04-26,2017,4,26,Wednesday,17,2017-17,624.92,635.67,608.77,633.02,0,633.02,0.019733556090949955,605.5507142857142,619.005
2017-04-27,2017,4,27,Thursday,17,2017-17,633.74,635.86,628.67,630.23,0,630.23,-0.004407505254835464,607.7828571428572,619.0866
2017-04-28,2017,4,28,Friday,17,2017-17,629.97,630.49,620.11,621.64,0,621.64,-0.013629890812118295,609.2007142857143,619.0206
2017-05-01,2017,5,1,Monday,18,2017-18,621.03,624.72,619.17,624.72,0,624.72,0.004954565314508219,611.1607142857143,619.0838
2017-05-02,2017,5,2,Tuesday,18,2017-18,626.54,637.34,626.54,634.72,0,634.72,0.016007171963375866,613.9578571428572,619.4808
2017-05-08,2017,5,8,Monday,19,2017-19,645.93,653.99,642.78,653.52,0,653.52,0.029619438013426258,617.7407142857143,620.1092
2017-05-09,2017,5,9,Tuesday,19,2017-19,656.24,656.65,643.28,645.52,0,645.52,-0.012241400050358342,621.3535714285715,620.7136
2017-05-10,2017,5,10,Wednesday,19,2017-19,650.23,654.79,646.82,654.79,0,654.79,0.01436045082354731,625.295,621.3796
2017-05-11,2017,5,11,Thursday,19,2017-19,653.53,656.61,653.16,655.66,0,655.66,0.0013286628482136464,629.1635714285713,621.9967999999999
2017-05-12,2017,5,12,Friday,19,2017-19,648.87,654.15,645.57,649.9,0,649.9,-0.008784963191887596,632.6014285714284,622.6722
2017-05-15,2017,5,15,Monday,20,2017-20,644.43,649.0,642.94,647.48,0,647.48,-0.0037237172709669863,635.6678571428572,623.325
2017-05-16,2017,5,16,Tuesday,20,2017-20,650.1,651.77,646.65,649.33,0,649.33,0.0028572877569965627,638.4142857142858,623.9084
2017-05-17,2017,5,17,Wednesday,20,2017-20,646.8,651.31,645.51,650.23,0,650.23,0.0013859876414457073,640.8235714285714,624.404
2017-05-18,2017,5,18,Thursday,20,2017-20,645.6,648.17,642.62,647.26,0,647.26,-0.004567569617420553,642.7157142857143,624.7529999999999
2017-05-19,2017,5,19,Friday,20,2017-20,647.0,647.0,641.59,645.99,0,645.99,-0.0019621473783153487,643.6421428571429,625.1154
2017-05-22,2017,5,22,Monday,21,2017-21,642.39,642.76,637.75,639.26,0,639.26,-0.010418087850414315,644.2871428571428,625.295
2017-05-23,2017,5,23,Tuesday,21,2017-21,639.98,644.17,637.29,637.96,0,637.96,-0.0020335822249312185,645.4528571428572,625.4312
