Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-05,2017,1,5,Thursday,01,2017-01,1470.46,1474.71,1464.09,1469.19,0,1469.19,0.0,1469.19,1469.19
2017-01-06,2017,1,6,Friday,01,2017-01,1459.41,1475.99,1459.41,1473.44,0,1473.44,0.002892750542473843,1471.315,1471.315
2017-01-10,2017,1,10,Tuesday,02,2017-02,1463.66,1479.81,1461.11,1462.81,0,1462.81,-0.007214330570104455,1468.4800000000002,1468.4800000000002
2017-01-11,2017,1,11,Wednesday,02,2017-02,1474.29,1474.29,1464.51,1467.91,0,1467.91,0.003486423651502868,1468.3375,1468.3375
2017-01-12,2017,1,12,Thursday,02,2017-02,1463.24,1463.24,1432.64,1443.69,0,1443.69,-0.01649971197790223,1463.408,1463.408
2017-01-13,2017,1,13,Friday,02,2017-02,1440.71,1458.56,1437.31,1452.19,0,1452.19,0.005887690809648793,1461.5383333333332,1461.5383333333332
2017-01-16,2017,1,16,Monday,03,2017-03,1440.29,1444.96,1424.56,1430.09,0,1430.09,-0.015218378089395523,1457.0457142857142,1457.0457142857142
2017-01-17,2017,1,17,Tuesday,03,2017-03,1422.86,1424.99,1406.71,1406.71,0,1406.71,-0.016348625220512947,1450.75375,1450.75375
2017-01-18,2017,1,18,Wednesday,03,2017-03,1407.56,1418.19,1397.37,1413.94,0,1413.94,0.005139638354399345,1446.6633333333334,1446.6633333333334
2017-01-19,2017,1,19,Thursday,03,2017-03,1416.91,1431.79,1416.06,1428.39,0,1428.39,0.01021972208226618,1444.836,1444.836
2017-01-20,2017,1,20,Friday,03,2017-03,1425.84,1443.69,1422.44,1439.01,0,1439.01,0.007434940743268559,1444.3063636363638,1444.3063636363638
2017-01-23,2017,1,23,Monday,04,2017-04,1425.84,1426.26,1410.54,1412.66,0,1412.66,-0.018311182971012974,1441.6691666666666,1441.6691666666666
2017-01-24,2017,1,24,Tuesday,04,2017-04,1409.69,1413.51,1402.89,1408.41,0,1408.41,-0.0030085086978962616,1439.1107692307694,1439.1107692307694
